Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Penalties Winner,Efficiency
Marko Gudžulić,SRB,Goalkeeper,Estrela,,2002,2,2,180,3,9,6,1,1,0,1,0,2.5,15,48,54,7,19,37,4,1,1,-0.5
Marko Ilić,SRB,Goalkeeper,Kortrijk,,1998,5,5,425,9,27,19,0,0,0,0,0,10.1,28,64,85,24,26,62,4,4,0,1.0999999999999996
Martin Delavallée,BEL,Goalkeeper,Charleroi,,2004,8,8,720,13,47,34,1,0,0,0,0,14.4,50,116,231,58,46,96,5,11,0,1.4000000000000004
Martín Campaña,URU,Goalkeeper,uy Peñarol,36.0,1989,3,3,270,2,13,11,2,0,0,0,0,2.0,17,50,40,4,23,55,4,0,0,0.0
Martín Silva,URU,Goalkeeper,py Libertad,42.0,1983,1,1,90,2,4,2,0,0,0,0,0,2.1,3,7,18,2,12,10,0,2,0,0.10000000000000009
Matheus,BRA,Goalkeeper,Ajax,,1992,26,26,2340,28,88,61,11,2,2,0,0,25.0,80,277,823,126,157,288,26,35,0,-2.9999999999999982
Matheus Donelli,BRA,Goalkeeper,Corinthians,23.0,2002,5,5,450,6,19,13,1,1,1,0,0,5.7,13,33,97,19,35,53,3,2,0,-0.2999999999999998
Matheus Teixeira,BRA,Goalkeeper,Rio Ave,,1999,1,0,15,0,0,0,0,0,0,0,0,0.0,0,3,8,0,2,1,0,0,0,0.0
Matt Freese,USA,Goalkeeper,NYCFC,26.0,1998,21,21,1890,27,92,68,6,1,1,0,0,27.5,35,138,538,128,95,258,16,28,0,0.5
Matt Ingram,ENG,Goalkeeper,Oxford United,,1993,1,1,90,3,5,2,0,0,0,0,0,2.7,3,15,31,7,9,19,0,0,0,-0.2999999999999998
Matteo Pisseri,ITA,Goalkeeper,Cesena,,1991,11,11,990,17,44,28,4,1,0,1,0,14.9,30,103,233,63,81,162,8,14,1,-2.0999999999999996
Matthieu Epolo,BEL,Goalkeeper,Standard Liège,,2004,19,18,1665,21,93,72,8,1,0,1,0,26.2,114,341,399,58,143,279,18,17,1,5.199999999999999
Mattijs Branderhorst,NED,Goalkeeper,Fortuna Sittard,,1993,28,28,2520,39,131,92,10,2,2,0,0,40.2,149,499,606,129,215,439,55,24,0,1.2000000000000028
Matías Borgogno,ARG,Goalkeeper,San Martín de San Juan,26.0,1998,19,19,1710,22,71,49,4,1,1,0,0,22.2,139,371,421,33,155,273,22,15,0,0.1999999999999993
Matías Mansilla,ARG,Goalkeeper,ar Estudiantes–LP,29.0,1996,24,24,2160,26,80,53,9,4,3,1,0,24.9,109,294,428,97,191,357,19,23,1,-1.0999999999999992
Matías Tagliamonte,ARG,Goalkeeper,Unión,27.0,1998,5,5,450,2,13,10,3,1,0,1,0,3.1,24,71,76,19,35,74,5,2,1,1.1
Max O'Leary,IRL,Goalkeeper,Bristol City,,1996,46,46,4140,55,172,117,10,2,2,0,0,54.6,236,770,1217,218,219,555,37,79,0,-0.3999999999999986
Maxence Prevot,FRA,Goalkeeper,OH Leuven,,1997,1,1,90,1,5,4,0,0,0,0,0,2.4,14,26,36,5,8,29,2,1,0,1.4
Maxime Crépeau,CAN,Goalkeeper,Portland Timbers,31.0,1994,12,12,1080,16,60,44,3,0,0,0,0,15.8,56,151,352,58,73,132,6,10,0,-0.1999999999999993
Maxime Delanghe,BEL,Goalkeeper,Cercle Brugge,,2001,21,21,1881,27,87,59,7,3,2,1,0,29.0,105,413,427,39,129,263,6,34,1,2.0
Michael Brouwer,NED,Goalkeeper,Utrecht,,1993,3,3,270,1,10,9,2,1,1,0,0,3.3,17,58,82,11,24,64,0,4,0,2.3
Michael Collodi,USA,Goalkeeper,FC Dallas,24.0,2001,2,2,180,2,6,4,1,0,0,0,0,2.5,5,18,59,11,8,27,1,6,0,0.5
Michael Cooper,ENG,Goalkeeper,Sheffield Utd,,1999,43,43,3870,33,142,109,21,5,4,1,0,38.5,248,662,1425,182,223,617,59,37,1,5.5
Michael Verrips,NED,Goalkeeper,Dender,,1996,27,27,2336,41,129,90,7,7,7,0,0,45.0,147,412,546,64,175,435,19,4,0,4.0
Michele Cerofolini,ITA,Goalkeeper,Frosinone,,1999,36,36,3240,43,145,100,8,6,4,2,0,45.8,155,546,1026,132,235,578,27,20,2,2.799999999999997
Mickey van der Hart,NED,Goalkeeper,Heerenveen,,1994,19,18,1695,33,104,72,3,3,3,0,0,37.0,82,255,794,78,58,214,11,30,0,4.0
Miguel Jiménez Ponce,MEX,Goalkeeper,Puebla,,1990,24,24,2160,40,117,75,4,6,3,3,0,36.5,125,439,414,61,255,478,17,9,3,-3.5
Miguel Ortega,MEX,Goalkeeper,Tijuana,,1995,3,3,270,6,13,7,0,1,1,0,0,5.8,14,31,107,10,12,32,2,4,0,-0.20000000000000018
Mika,POR,Goalkeeper,Moreirense,,1991,1,0,3,0,0,0,1,0,0,0,0,0.0,0,0,2,0,0,0,0,0,0,0.0
Mike Hauptmeijer,NED,Goalkeeper,Zwolle,,1997,4,4,360,6,16,10,0,1,0,0,1,5.2,24,67,112,21,33,80,7,1,1,-0.7999999999999998
Mike Penders,BEL,Goalkeeper,Genk,,2005,11,11,989,8,32,24,4,1,1,0,0,10.2,60,129,386,37,49,121,13,3,0,2.1999999999999993
Mirko Pigliacelli,ITA,Goalkeeper,Catanzaro,,1993,38,38,3420,45,150,107,13,5,4,0,1,46.6,199,467,1566,108,130,601,37,40,1,1.6000000000000014
Mohamed Koné,CIV,Goalkeeper,Charleroi,,2002,21,21,1890,21,74,53,6,4,3,1,0,23.8,118,289,652,85,82,246,28,33,1,2.8000000000000007
Mouhamadou Sarr,SEN,Goalkeeper,Spezia,,1997,4,4,360,4,15,11,1,0,0,0,0,3.7,23,64,80,10,25,47,6,6,0,-0.2999999999999998
Nahuel Guzmán,ARG,Goalkeeper,UANL,,1986,28,28,2519,26,104,78,9,5,4,0,1,30.1,154,313,847,94,184,315,16,41,1,4.100000000000001
Nahuel Losada,ARG,Goalkeeper,Lanús,32.0,1993,18,18,1620,12,65,52,8,4,2,1,1,17.9,78,207,438,95,84,269,29,23,2,5.899999999999999
Nelson Insfrán,ARG,Goalkeeper,Gimnasia–LP,30.0,1995,16,16,1440,12,61,47,8,3,1,2,0,18.6,97,264,350,46,115,279,16,5,2,6.600000000000001
Niccolò Chiorra,ITA,Goalkeeper,Carrarese,,2001,2,1,158,5,8,3,0,0,0,0,0,3.9,2,11,42,5,11,16,0,1,0,-1.1
Nicholas Hagen,GUA,Goalkeeper,Columbus Crew,28.0,1996,3,3,270,10,23,13,0,0,0,0,0,9.3,0,2,52,13,16,23,2,4,0,-0.6999999999999993
Nicholas Hansen,DEN,Goalkeeper,Colorado Rapids,24.0,2001,10,10,900,14,46,33,3,3,2,1,0,14.2,48,182,249,35,72,127,16,23,1,0.1999999999999993
Nick Gillekens,BEL,Goalkeeper,Westerlo,,1995,1,1,90,3,11,8,0,0,0,0,0,4.3,8,19,34,7,9,22,0,1,0,1.2999999999999998
Nick Olij,NED,Goalkeeper,Sparta R'dam,,1995,34,34,3060,43,150,108,6,5,4,1,0,44.8,243,539,1341,143,154,568,46,24,1,1.7999999999999972
Nick Shinton,BEL,Goalkeeper,Beerschot,,2001,21,21,1845,37,119,83,3,4,4,0,0,40.2,84,322,662,78,106,361,11,27,0,3.200000000000003
Nico Mantl,GER,Goalkeeper,Arouca,,2000,29,29,2610,43,120,79,7,8,8,0,0,40.6,115,284,746,127,202,445,22,42,0,-2.3999999999999986
Nicola Ravaglia,ITA,Goalkeeper,Carrarese,,1988,2,1,158,3,8,5,0,1,1,0,0,3.9,12,35,36,3,15,23,1,1,0,0.8999999999999999
Nicolas Schmid,AUT,Goalkeeper,Portsmouth,,1997,35,35,3090,48,144,100,8,1,1,0,0,46.9,276,920,1055,60,203,454,12,98,0,-1.1000000000000014
Nordin Bakker,NED,Goalkeeper,Almere City,,1997,34,34,3050,64,178,118,7,0,0,0,0,55.0,257,838,998,128,252,545,44,67,0,-9.0
Nordin Jackers,BEL,Goalkeeper,Club Brugge,,1997,1,0,31,1,3,2,0,0,0,0,0,0.8,3,4,28,4,0,2,2,0,0,-0.19999999999999996
Novak Mićović,SRB,Goalkeeper,LA Galaxy,23.0,2001,13,13,1170,22,52,30,2,0,0,0,0,21.6,30,142,322,46,74,154,13,4,0,-0.3999999999999986
Nícolas Andrade,BRA,Goalkeeper,Pisa,,1988,1,1,90,1,4,3,0,0,0,0,0,0.8,5,16,22,0,4,7,0,2,0,-0.19999999999999996
Oliver Christensen,DEN,Goalkeeper,Salernitana,,1999,16,16,1440,15,51,36,6,0,0,0,0,16.5,90,258,400,64,108,252,20,19,0,1.5
Oliver Dovin,SWE,Goalkeeper,Coventry City,,2002,28,28,2467,30,95,68,8,1,1,0,0,31.1,101,318,797,80,150,353,11,37,0,1.1000000000000014
Orlando Gil,PAR,Goalkeeper,San Lorenzo,25.0,2000,19,19,1710,11,55,45,11,0,0,0,0,13.1,97,306,336,45,161,280,12,4,0,2.0999999999999996
Ortwin De Wolf,BEL,Goalkeeper,Mechelen,,1997,30,30,2700,40,142,106,9,5,5,0,0,45.3,130,372,937,150,225,473,32,23,0,5.299999999999997
Oscar Jiménez,MEX,Goalkeeper,León,,1988,8,8,720,11,41,30,1,0,0,0,0,10.6,43,101,196,37,69,95,8,5,0,-0.40000000000000036
Pablo Lara,MEX,Goalkeeper,UNAM,,2005,7,7,630,9,32,24,2,0,0,0,0,7.5,35,97,173,24,57,70,5,19,0,-1.5
Pablo Sisniega,MEX,Goalkeeper,San Diego FC,30.0,1995,4,4,360,3,13,11,1,1,1,0,0,3.7,3,12,127,28,10,30,6,8,0,0.7000000000000002
Paolo Vismara,ITA,Goalkeeper,Sampdoria,,2003,10,7,753,15,48,32,4,1,0,1,0,13.8,26,116,202,34,59,128,10,3,1,-1.1999999999999993
Patrick Schulte,USA,Goalkeeper,Columbus Crew,24.0,2001,17,17,1530,23,61,39,2,1,1,0,0,21.7,39,131,554,79,95,142,3,29,0,-1.3000000000000007
Patrick Sequeira,CRC,Goalkeeper,Casa Pia,,1999,32,32,2880,41,157,117,7,7,6,0,1,42.5,118,442,919,160,190,472,37,24,1,1.5
Patrik Gunnarsson,ISL,Goalkeeper,Kortrijk,,2000,11,11,922,16,36,21,1,0,0,0,0,14.9,65,176,243,56,77,179,11,7,0,-1.0999999999999996
Pau López,ESP,Goalkeeper,Toluca,,1994,10,10,900,13,37,25,4,0,0,0,0,8.9,29,88,354,39,78,106,4,13,0,-4.1
Paul Nardi,FRA,Goalkeeper,QPR,,1994,45,45,4050,63,174,114,9,3,3,0,0,59.5,200,640,1366,184,250,658,10,39,0,-3.5
Pedro Gallese,PER,Goalkeeper,Orlando City,35.0,1990,23,23,2070,31,97,67,8,3,3,0,0,33.2,102,254,454,56,136,343,15,26,0,2.200000000000003
Pierce Charles,NIR,Goalkeeper,Sheffield Weds,,2005,8,8,720,10,30,19,0,1,0,1,0,12.7,50,110,298,37,39,107,11,5,1,2.6999999999999993
Plamen Andreev,BUL,Goalkeeper,Feyenoord,,2004,1,1,90,2,4,2,0,1,1,0,0,1.4,5,11,36,3,2,6,1,6,0,-0.6000000000000001
Przemysław Tytoń,POL,Goalkeeper,Twente,,1987,3,3,270,10,19,9,0,0,0,0,0,7.8,16,34,100,15,18,34,1,6,0,-2.2
Rafael Cabral,BRA,Goalkeeper,Real Salt Lake,35.0,1990,24,24,2160,30,99,67,6,5,3,2,0,33.3,90,241,895,82,176,262,4,39,2,3.299999999999997
Rafael Pires,BRA,Goalkeeper,br São Paulo,36.0,1989,23,23,2070,23,81,59,8,4,3,0,1,25.5,58,220,383,50,158,348,8,17,1,2.4999999999999982
Randall Rodríguez,URU,Goalkeeper,Vélez Sarsfield,21.0,2003,1,1,90,4,8,4,0,1,1,0,0,3.1,4,16,23,5,7,10,1,0,0,-0.8999999999999999
Remko Pasveer,NED,Goalkeeper,Ajax,,1983,24,24,2160,23,89,67,11,0,0,0,0,27.3,148,327,943,109,107,277,25,27,0,4.300000000000001
Ricardo Batista,POR,Goalkeeper,Casa Pia,,1986,1,1,90,1,2,1,0,1,1,0,0,0.8,1,2,31,3,3,10,0,2,0,-0.19999999999999996
Ricardo Gutiérrez,MEX,Goalkeeper,Mazatlán,,1997,1,0,45,0,5,5,0,0,0,0,0,0.7,2,5,12,1,3,4,0,0,0,0.7
Ricardo Velho,POR,Goalkeeper,Farense,,1998,28,28,2520,40,126,88,6,7,6,0,1,40.1,155,463,636,109,254,453,31,24,1,0.10000000000000142
Riccardo Gagno,ITA,Goalkeeper,Modena,,1997,37,37,3330,47,134,87,7,4,3,1,0,42.2,202,600,906,123,281,654,63,12,1,-4.799999999999997
Robin Roefs,NED,Goalkeeper,NEC Nijmegen,,2003,32,32,2880,42,151,113,10,1,1,0,0,47.7,169,562,1072,137,202,465,52,45,0,5.700000000000003
Rocco Ríos Novo,ARG,Goalkeeper,Inter Miami,23.0,2002,6,3,430,5,13,8,2,0,0,0,0,5.0,20,34,172,20,21,58,2,3,0,0.0
Rodolfo Cota,MEX,Goalkeeper,América,,1987,6,5,495,4,17,13,3,0,0,0,0,3.5,14,37,171,18,30,37,2,6,0,-0.5
Rodrigo Morínigo,PAR,Goalkeeper,py Libertad,26.0,1998,5,5,450,3,18,15,3,0,0,0,0,3.9,41,97,104,10,45,87,1,3,0,0.8999999999999999
Rodrigo Rey,ARG,Goalkeeper,Independiente,34.0,1991,19,19,1710,17,58,44,7,3,3,0,0,18.9,92,216,435,77,116,229,11,6,0,1.8999999999999986
Rodrigo Saracho,ARG,Goalkeeper,bo San Antonio Bulo Bulo,31.0,1994,6,6,540,15,46,31,0,1,1,0,0,14.4,43,135,126,14,79,117,5,5,0,-0.5999999999999996
Roman Bürki,SUI,Goalkeeper,St. Louis,34.0,1990,15,15,1350,26,85,60,3,3,3,0,0,27.0,80,205,482,75,99,176,9,17,0,1.0
Roman Celentano,USA,Goalkeeper,FC Cincinnati,24.0,2000,25,25,2250,31,102,72,9,5,3,1,1,32.8,87,253,598,118,176,374,20,11,2,1.7999999999999972
Rome-Jayden Owusu-Oduro,NED,Goalkeeper,AZ Alkmaar,,2004,28,28,2520,34,85,51,9,3,1,1,1,28.9,120,358,716,87,118,317,26,14,2,-5.100000000000001
Ronaldo,BRA,Goalkeeper,br Bahia,28.0,1996,7,7,558,5,24,18,2,1,0,1,0,6.4,22,69,183,24,36,83,8,13,1,1.4
Roy Kortsmit,NED,Goalkeeper,NAC Breda,,1992,1,1,90,3,4,1,0,1,1,0,0,2.9,12,25,27,1,3,12,2,2,0,-0.10000000000000009
Rubén Cordano,BOL,Goalkeeper,bo Bolívar,26.0,1998,2,2,180,4,12,8,0,0,0,0,0,2.6,6,21,82,13,12,19,1,0,0,-1.4
Rui Encarnação,POR,Goalkeeper,Nacional,,1998,2,1,135,4,7,3,0,2,2,0,0,2.8,5,14,30,2,7,19,0,2,0,-1.2000000000000002
Rui Silva,POR,Goalkeeper,Sporting CP,,1994,17,17,1530,13,32,21,6,4,4,0,0,13.5,44,121,294,51,91,185,12,28,0,0.5
Salvatore Sirigu,ITA,Goalkeeper,Palermo,,1987,3,3,270,2,7,5,2,0,0,0,0,1.0,12,30,81,6,13,39,1,1,0,-1.0
Samuel Soares,POR,Goalkeeper,Benfica,,2002,2,2,180,0,5,4,2,1,0,1,0,1.0,2,6,28,11,10,13,2,1,1,1.0
Samuele Perisan,ITA,Goalkeeper,Sampdoria,,1997,1,1,57,0,1,1,0,0,0,0,0,0.2,2,7,9,3,6,14,1,0,0,0.2
Sean Johnson,USA,Goalkeeper,Toronto FC,36.0,1989,24,24,2160,32,113,81,6,4,4,0,0,40.4,78,258,548,89,174,299,12,19,0,8.399999999999999
Sebastian Breza,CAN,Goalkeeper,CF Montréal,27.0,1998,3,3,270,9,20,11,0,0,0,0,0,8.1,9,27,81,13,10,31,6,2,0,-0.9000000000000004
Sebastiano Desplanches,ITA,Goalkeeper,Palermo,,2003,21,20,1854,21,75,55,6,1,1,0,0,17.2,77,205,601,109,111,300,14,24,0,-3.8000000000000007
Sebastián Britos,URU,Goalkeeper,pe Universitario,37.0,1988,6,6,540,4,27,23,2,0,0,0,0,6.6,42,108,93,18,61,105,3,11,0,2.5999999999999996
Sebastián Jurado,MEX,Goalkeeper,FC Juárez,,1997,21,21,1890,30,87,58,5,2,2,0,0,27.2,69,258,578,64,120,263,11,13,0,-2.8000000000000007
Sebastián Meza,ARG,Goalkeeper,Huracán,25.0,2000,3,3,270,5,10,5,1,1,1,0,0,3.5,8,35,57,14,12,37,2,2,0,-1.5
Senne Lammens,BEL,Goalkeeper,Antwerp,,2002,30,30,2700,32,161,127,7,6,2,4,0,44.5,137,369,983,167,142,394,44,21,4,12.5
Seny Dieng,SEN,Goalkeeper,Middlesbrough,,1994,17,17,1530,21,47,28,5,0,0,0,0,16.4,27,118,469,83,77,242,12,24,0,-4.600000000000001
Sergio Rochet,URU,Goalkeeper,Internacional,32.0,1993,5,5,405,2,20,18,2,0,0,0,0,4.4,11,53,105,26,23,73,1,0,0,2.4000000000000004
Simon Mignolet,BEL,Goalkeeper,Club Brugge,,1988,30,30,2669,35,103,69,8,4,3,1,0,36.0,144,301,920,112,143,374,17,27,1,1.0
Simon Moore,ENG,Goalkeeper,Sunderland,,1990,4,4,360,2,10,8,3,0,0,0,0,1.8,14,49,94,23,25,61,4,5,0,-0.19999999999999996
Simone Ghidotti,ITA,Goalkeeper,Sampdoria,,2000,9,9,720,8,48,40,1,0,0,0,0,11.5,32,112,225,31,48,138,14,5,0,3.5
Simão Bertelli,BRA,Goalkeeper,AVS Futebol,,1993,11,11,990,15,57,41,2,3,2,1,0,21.1,60,154,295,45,82,150,8,8,1,6.100000000000001
Sinan Bolat,TUR,Goalkeeper,Westerlo,,1988,11,11,990,20,62,42,1,2,2,0,0,19.5,59,168,323,47,79,165,7,12,0,-0.5
Solomon Brynn,ENG,Goalkeeper,Middlesbrough,,2000,6,6,509,9,25,16,1,0,0,0,0,9.4,10,38,140,30,29,77,10,5,0,0.40000000000000036
Stefan Frei,SUI,Goalkeeper,Seattle Sounders,39.0,1986,18,18,1620,20,64,46,6,3,3,0,0,18.5,55,175,399,70,119,200,10,10,0,-1.5
Stefano Gori,ITA,Goalkeeper,Spezia,,1996,23,23,2070,19,78,61,12,1,1,0,0,19.7,135,316,515,93,121,293,14,18,0,0.6999999999999993
Stijn van Gassel,NED,Goalkeeper,NEC Nijmegen,,1996,2,2,180,4,15,11,0,1,1,0,0,4.5,4,36,60,17,22,51,2,3,0,0.5
Thiago Cardozo,URU,Goalkeeper,Unión,28.0,1996,17,17,1526,17,58,41,5,3,2,0,1,17.8,62,197,310,74,119,236,11,6,1,0.8
Thomas Didillon,FRA,Goalkeeper,Willem II,,1995,34,34,3060,56,181,128,5,6,6,0,0,60.7,239,621,905,128,278,620,36,11,0,4.700000000000003
Thomas Hasal,CAN,Goalkeeper,LAFC,26.0,1999,1,1,90,5,9,4,0,0,0,0,0,2.9,1,7,26,8,6,11,2,0,0,-2.1
Thomas Kaminski,BEL,Goalkeeper,Luton Town,,1992,45,45,3990,68,193,125,10,3,2,1,0,60.3,374,1023,1203,120,348,610,25,72,1,-7.700000000000003
Thomas Vettorel,ITA,Goalkeeper,Cosenza,,2000,2,1,124,3,6,3,0,1,1,0,0,2.5,6,17,33,4,11,10,0,3,0,-0.5
Théo Defourny,BEL,Goalkeeper,Charleroi,,1992,1,1,90,2,4,2,0,0,0,0,0,1.5,1,10,24,3,5,9,0,1,0,-0.5
Tiago Volpi,BRA,Goalkeeper,Grêmio,34.0,1990,35,35,3150,41,160,119,9,5,5,0,0,51.6,222,506,1023,107,236,529,31,32,0,10.600000000000001
Timon Wellenreuther,GER,Goalkeeper,Feyenoord,,1995,29,29,2610,28,99,70,10,2,1,1,0,32.0,129,321,1128,129,96,286,17,77,1,4.0
Tobe Leysen,BEL,Goalkeeper,OH Leuven,,2002,29,29,2610,32,126,95,9,5,4,1,0,40.9,171,511,1023,158,210,462,29,28,1,8.899999999999999
Tom Glover,AUS,Goalkeeper,Middlesbrough,,1997,7,6,571,6,13,7,3,0,0,0,0,3.9,25,96,199,35,36,75,8,7,0,-2.1
Tom Vandenberghe,BEL,Goalkeeper,Gent,,1992,12,12,1080,23,61,39,2,1,1,0,0,21.700000000000003,65,161,291,67,59,165,14,7,0,-1.299999999999999
Tomas Romero,SLV,Goalkeeper,NYCFC,24.0,2000,3,3,270,2,11,10,1,0,0,0,0,3.3,5,14,76,12,19,42,2,1,0,1.2999999999999998
Tomás Durso,ARG,Goalkeeper,Atlé Tucumán,26.0,1999,11,11,990,17,46,29,2,3,1,1,1,17.2,63,177,245,46,87,128,8,16,2,0.1999999999999993
Tomás Marchiori,ARG,Goalkeeper,ar Vélez Sarsfield,30.0,1995,24,24,2160,23,81,61,10,2,1,0,1,21.599999999999998,70,219,406,85,191,296,15,7,1,-1.4000000000000012
Tomáš Vaclík,CZE,Goalkeeper,Boavista,,1989,12,12,1080,22,76,55,3,3,3,0,0,22.9,75,195,247,65,120,202,11,12,0,0.8999999999999986
Tomé,POR,Goalkeeper,Boavista,,2006,2,2,180,5,10,5,0,0,0,0,0,2.3,13,44,21,0,26,33,0,2,0,-2.7
Vasilios Barkas,GRE,Goalkeeper,Utrecht,,1994,31,31,2790,44,140,97,7,3,3,0,0,42.3,156,417,883,117,192,410,30,28,0,-1.7000000000000028
Vicente Reyes,CHI,Goalkeeper,Norwich City,,2003,4,3,271,7,12,5,0,0,0,0,0,5.6,4,18,63,15,10,38,1,8,0,-1.4000000000000004
Viktor Johansson,SWE,Goalkeeper,Stoke City,,1998,46,46,4140,62,209,151,14,5,3,1,1,71.4,196,700,1451,209,242,753,50,102,2,9.400000000000006
Vincenzo Fiorillo,ITA,Goalkeeper,Salernitana,,1990,17,16,1366,25,64,39,1,2,2,0,0,21.9,70,205,338,46,137,242,14,8,0,-3.0999999999999996
Vladan Kovačević,BIH,Goalkeeper,Sporting CP,,1998,6,6,540,5,16,11,2,0,0,0,0,3.7,6,16,98,20,14,52,3,4,0,-1.2999999999999998
Václav Hladký,CZE,Goalkeeper,Burnley,,1990,1,1,90,0,4,4,1,0,0,0,0,0.1,2,8,35,4,3,13,2,0,0,0.1
Walter,BRA,Goalkeeper,Mirassol,37.0,1987,9,9,810,5,44,38,4,1,0,1,0,12.0,32,99,246,51,45,182,8,3,1,7.0
Walter Benítez,ARG,Goalkeeper,PSV Eindhoven,,1993,34,34,3015,39,102,63,9,2,2,0,0,36.4,136,287,1158,126,140,303,20,49,0,-2.6000000000000014
Warleson,BRA,Goalkeeper,Cercle Brugge,,1996,10,9,817,17,47,30,0,0,0,0,0,21.4,71,199,198,16,50,88,5,28,0,4.399999999999999
Wessel Speel,NED,Goalkeeper,Minnesota Utd,23.0,2001,3,3,199,6,10,4,0,1,1,0,0,5.4,11,41,56,1,20,31,1,0,0,-0.5999999999999996
Will Norris,ENG,Goalkeeper,Portsmouth,,1993,8,8,720,19,47,29,2,3,3,0,0,16.1,56,185,263,30,49,115,3,8,0,-2.8999999999999986
Williams Barlasina,ARG,Goalkeeper,Aldosivi,27.0,1998,6,6,540,11,29,18,0,0,0,0,0,9.3,25,67,94,27,46,98,6,1,0,-1.7000000000000002
Wéverton,BRA,Goalkeeper,br Palmeiras,37.0,1987,20,20,1800,16,63,46,9,3,2,1,0,17.4,70,279,441,67,126,259,17,19,1,1.4000000000000004
Yanick van Osch,NED,Goalkeeper,RKC Waalwijk,,1997,3,3,270,9,26,17,0,1,1,0,0,9.9,26,65,103,11,35,83,3,2,0,0.9000000000000004
Yohei Takaoka,JPN,Goalkeeper,Vancouver W'caps,29.0,1996,24,24,2160,26,82,55,11,4,3,1,0,25.4,76,222,664,91,137,292,15,37,1,-0.6000000000000014
Zack Steffen,USA,Goalkeeper,Colorado Rapids,30.0,1995,14,14,1260,22,81,59,4,0,0,0,0,26.6,71,231,357,68,100,234,12,18,0,4.600000000000001
Éverson,BRA,Goalkeeper,Atlético Mineiro,35.0,1990,14,14,1260,14,55,42,7,0,0,0,0,16.3,74,187,455,58,44,167,7,29,0,2.3000000000000007
Óscar Ustari,ARG,Goalkeeper,Inter Miami,39.0,1986,17,17,1362,24,75,52,2,0,0,0,0,21.0,64,127,535,86,80,173,6,33,0,-3.0
