Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions
Roman Bürki,SUI,Goalkeeper,St. Louis,34,1990,15,15,1350,26,85,60,3,3,3,0,0,27.0,80,205,482,75,99,176,9,17
Evan Bush,USA,Goalkeeper,Columbus Crew,39,1986,5,5,450,3,7,4,2,0,0,0,0,2.7,6,22,142,19,32,38,3,12
Rafael Cabral,BRA,Goalkeeper,Real Salt Lake,35,1990,24,24,2160,30,99,67,6,5,3,2,0,33.3,90,241,895,82,176,262,4,39
Drake Callender,USA,Goalkeeper,Inter Miami,27,1997,3,2,185,5,13,8,0,0,0,0,0,4.7,10,17,57,10,9,15,0,3
Roman Celentano,USA,Goalkeeper,FC Cincinnati,24,2000,25,25,2250,31,102,72,9,5,3,1,1,32.8,87,253,598,118,176,374,20,11
Michael Collodi,USA,Goalkeeper,FC Dallas,24,2001,2,2,180,2,6,4,1,0,0,0,0,2.5,5,18,59,11,8,27,1,6
Carlos Coronel,PAR,Goalkeeper,NY Red Bulls,28,1996,24,24,2160,35,116,83,7,2,2,0,0,38.9,69,292,617,115,131,288,18,49
Maxime Crépeau,CAN,Goalkeeper,Portland Timbers,31,1994,12,12,1080,16,60,44,3,0,0,0,0,15.8,56,151,352,58,73,132,6,10
Daniel,BRA,Goalkeeper,SJ Earthquakes,31,1994,21,21,1775,32,108,77,2,1,1,0,0,34.3,75,219,498,92,118,248,14,41
C.J. dos Santos,USA,Goalkeeper,San Diego FC,24,2000,21,21,1890,29,90,61,7,5,4,1,0,28.0,27,65,590,91,85,188,12,32
Earl Edwards Jr.,USA,Goalkeeper,SJ Earthquakes,33,1992,6,4,475,12,23,11,2,1,1,0,0,8.7,22,64,120,30,28,60,1,6
Matt Freese,USA,Goalkeeper,NYCFC,26,1998,21,21,1890,27,92,68,6,1,1,0,0,27.5,35,138,538,128,95,258,16,28
Stefan Frei,SUI,Goalkeeper,Seattle Sounders,39,1986,18,18,1620,20,64,46,6,3,3,0,0,18.5,55,175,399,70,119,200,10,10
Jeffrey Gal,USA,Goalkeeper,Chicago Fire,32,1993,7,6,591,9,19,11,1,1,1,0,0,6.2,19,52,149,27,41,73,7,3
Pedro Gallese,PER,Goalkeeper,Orlando City,35,1990,23,23,2070,31,97,67,8,3,3,0,0,33.2,102,254,454,56,136,343,15,26
Blake Gillingham,USA,Goalkeeper,Houston Dynamo,22,2002,4,3,294,4,15,11,2,0,0,0,0,6.1,8,39,83,18,17,44,2,4
Brad Guzan,USA,Goalkeeper,Atlanta Utd,40,1984,23,23,2070,44,124,80,2,5,5,0,0,39.5,99,237,579,106,164,255,7,28
Nicholas Hagen,GUA,Goalkeeper,Columbus Crew,28,1996,3,3,270,10,23,13,0,0,0,0,0,9.3,0,2,52,13,16,23,2,4
Nicholas Hansen,DEN,Goalkeeper,Colorado Rapids,24,2001,10,10,900,14,46,33,3,3,2,1,0,14.2,48,182,249,35,72,127,16,23
Thomas Hasal,CAN,Goalkeeper,LAFC,26,1999,1,1,90,5,9,4,0,0,0,0,0,2.9,1,7,26,8,6,11,2,0
Jayden Hibbert,JAM,Goalkeeper,Atlanta Utd,20,2004,1,1,90,1,5,4,0,0,0,0,0,0.8,0,7,43,4,5,11,1,2
Aljaž Ivačič,SVN,Goalkeeper,NE Revolution,31,1993,24,24,2160,35,101,66,8,4,4,0,0,31.5,83,277,438,57,198,293,9,11
Sean Johnson,USA,Goalkeeper,Toronto FC,36,1989,24,24,2160,32,113,81,6,4,4,0,0,40.4,78,258,548,89,174,299,12,19
Kim Joonhong,KOR,Goalkeeper,D.C. United,22,2003,7,7,630,17,39,22,1,2,2,0,0,15.6,51,118,174,26,50,75,5,13
Kristijan Kahlina,CRO,Goalkeeper,Charlotte,33,1992,23,23,2070,37,118,81,6,6,6,0,0,37.3,62,170,605,125,126,326,15,15
Hugo Lloris,FRA,Goalkeeper,LAFC,38,1986,20,20,1800,22,65,44,8,3,3,0,0,20.9,92,221,454,68,104,232,8,21
Benjamin Lundt,GER,Goalkeeper,St. Louis,29,1995,9,9,810,14,46,31,2,2,1,1,0,14.1,50,114,210,43,81,126,6,6
AJ Marcucci,USA,Goalkeeper,NY Red Bulls,25,1999,1,1,90,1,2,1,0,0,0,0,0,0.7,4,16,27,3,4,8,1,2
Jimmy Maurer,USA,Goalkeeper,Houston Dynamo,36,1988,2,1,120,1,5,4,0,0,0,0,0,0.8,6,20,36,4,6,16,1,1
John McCarthy,USA,Goalkeeper,LA Galaxy,33,1992,11,11,990,26,56,31,0,4,3,1,0,20.0,27,123,245,46,54,135,8,9
Novak Mićović,SRB,Goalkeeper,LA Galaxy,23,2001,13,13,1170,22,52,30,2,0,0,0,0,21.6,30,142,322,46,74,154,13,4
David Ochoa,USA,Goalkeeper,LAFC,24,2001,1,1,90,1,1,0,0,0,0,0,0,0.9,0,1,18,7,5,13,0,0
Javier Otero,VEN,Goalkeeper,Orlando City,22,2002,2,2,180,2,7,5,0,1,1,0,0,2.6,5,9,32,10,11,39,4,1
Maarten Paes,IDN,Goalkeeper,FC Dallas,27,1998,22,22,1980,43,105,62,3,7,7,0,0,40.6,121,280,546,89,144,372,18,31
James Pantemis,CAN,Goalkeeper,Portland Timbers,28,1997,12,12,1080,16,64,46,3,5,2,3,0,17.4,60,139,380,49,89,187,7,15
John Pulskamp,USA,Goalkeeper,Sporting KC,24,2001,24,24,2160,45,127,84,3,7,6,0,1,42.0,109,402,517,82,204,319,16,19
Andrew Rick,USA,Goalkeeper,Philadelphia Union,19,2006,10,10,900,10,23,13,4,1,1,0,0,9.8,56,152,168,28,70,97,3,6
Rocco Ríos Novo,ARG,Goalkeeper,Inter Miami,23,2002,6,3,430,5,13,8,2,0,0,0,0,5.0,20,34,172,20,21,58,2,3
Tomas Romero,SLV,Goalkeeper,NYCFC,24,2000,3,3,270,2,11,10,1,0,0,0,0,3.3,5,14,76,12,19,42,2,1
Patrick Schulte,USA,Goalkeeper,Columbus Crew,24,2001,17,17,1530,23,61,39,2,1,1,0,0,21.7,39,131,554,79,95,142,3,29
Jonathan Sirois,CAN,Goalkeeper,CF Montréal,24,2001,22,22,1980,37,109,72,4,0,0,0,0,33.5,80,217,773,91,90,208,15,26
Pablo Sisniega,MEX,Goalkeeper,San Diego FC,30,1995,4,4,360,3,13,11,1,1,1,0,0,3.7,3,12,127,28,10,30,6,8
Alec Smir,USA,Goalkeeper,Minnesota Utd,26,1999,2,1,161,3,9,6,0,0,0,0,0,3.0,10,38,40,3,11,32,0,2
Wessel Speel,NED,Goalkeeper,Minnesota Utd,23,2001,3,3,199,6,10,4,0,1,1,0,0,5.4,11,41,56,1,20,31,1,0
Dayne St. Clair,CAN,Goalkeeper,Minnesota Utd,28,1997,21,21,1890,19,77,60,8,3,2,0,1,20.9,111,381,573,64,125,389,13,7
Zack Steffen,USA,Goalkeeper,Colorado Rapids,30,1995,14,14,1260,22,81,59,4,0,0,0,0,26.6,71,231,357,68,100,234,12,18
Brad Stuver,USA,Goalkeeper,Austin,34,1991,23,23,2070,26,105,80,8,3,2,1,0,28.2,131,363,696,101,168,343,23,20
Yohei Takaoka,JPN,Goalkeeper,Vancouver W'caps,29,1996,24,24,2160,26,82,55,11,4,3,1,0,25.4,76,222,664,91,137,292,15,37
Andrew Tarbell,USA,Goalkeeper,Houston Dynamo,31,1993,4,4,306,7,15,8,1,0,0,0,0,6.1,12,33,84,15,13,31,1,4
Andrew Thomas,RUS,Goalkeeper,Seattle Sounders,26,1998,6,6,540,15,36,22,0,4,4,0,0,11.8,6,44,111,32,34,86,8,1
Óscar Ustari,ARG,Goalkeeper,Inter Miami,39,1986,17,17,1362,24,75,52,2,0,0,0,0,21.0,64,127,535,86,80,173,6,33
Joe Willis,USA,Goalkeeper,Nashville SC,36,1988,25,25,2250,26,91,64,9,4,2,2,0,28.4,80,220,704,133,132,307,26,14
Plamen Andreev,BUL,Goalkeeper,Feyenoord,,2004,1,1,90,2,4,2,0,1,1,0,0,1.4,5,11,36,3,2,6,1,6
Nordin Bakker,NED,Goalkeeper,Almere City,,1997,34,34,3050,64,178,118,7,0,0,0,0,55.0,257,838,998,128,252,545,44,67
Vasilios Barkas,GRE,Goalkeeper,Utrecht,,1994,31,31,2790,44,140,97,7,3,3,0,0,42.3,156,417,883,117,192,410,30,28
Walter Benítez,ARG,Goalkeeper,PSV Eindhoven,,1993,34,34,3015,39,102,63,9,2,2,0,0,36.4,136,287,1158,126,140,303,20,49
Daniel Bielica,POL,Goalkeeper,NAC Breda,,1999,32,32,2880,52,163,112,5,6,6,0,0,52.2,182,406,874,145,263,513,23,26
Justin Bijlow,NED,Goalkeeper,Feyenoord,,1998,4,4,360,8,16,8,0,0,0,0,0,6.0,12,30,205,16,21,26,2,6
Mattijs Branderhorst,NED,Goalkeeper,Fortuna Sittard,,1993,28,28,2520,39,131,92,10,2,2,0,0,40.2,149,499,606,129,215,439,55,24
Michael Brouwer,NED,Goalkeeper,Utrecht,,1993,3,3,270,1,10,9,2,1,1,0,0,3.3,17,58,82,11,24,64,0,4
Jari De Busser,BEL,Goalkeeper,Go Ahead Eag,,1999,16,16,1440,23,88,66,5,1,1,0,0,21.0,68,234,662,83,85,311,15,19
Mickey van der Hart,NED,Goalkeeper,Heerenveen,,1994,19,18,1695,33,104,72,3,3,3,0,0,37.0,82,255,794,78,58,214,11,30
Thomas Didillon,FRA,Goalkeeper,Willem II,,1995,34,34,3060,56,181,128,5,6,6,0,0,60.7,239,621,905,128,278,620,36,11
Joel Drommel,NED,Goalkeeper,PSV Eindhoven,,1996,1,0,45,0,0,0,0,0,0,0,0,0.0,5,11,21,1,5,6,0,0
Stijn van Gassel,NED,Goalkeeper,NEC Nijmegen,,1996,2,2,180,4,15,11,0,1,1,0,0,4.5,4,36,60,17,22,51,2,3
Mike Hauptmeijer,NED,Goalkeeper,Zwolle,,1997,4,4,360,6,16,10,0,1,0,0,1,5.2,24,67,112,21,33,80,7,1
Jeroen Houwen,NED,Goalkeeper,RKC Waalwijk,,1996,24,24,2160,48,133,87,4,2,2,0,0,45.4,178,433,735,95,191,380,17,21
Hidde Jurjus,NED,Goalkeeper,Groningen,,1994,2,2,180,3,7,4,0,0,0,0,0,2.2,14,39,73,4,13,18,0,7
Fabian de Keijzer,NED,Goalkeeper,Heracles Almelo,,2000,34,34,3060,63,185,126,6,6,6,0,0,58.1,264,710,1050,83,250,508,12,23
Joey Kesting,NED,Goalkeeper,RKC Waalwijk,,2001,3,3,270,5,13,8,0,3,3,0,0,5.1,25,53,86,7,17,51,0,2
Luuk Koopmans,NED,Goalkeeper,Fortuna Sittard,,1993,6,6,540,15,35,19,0,2,1,1,0,13.2,48,141,130,12,54,103,4,0
Roy Kortsmit,NED,Goalkeeper,NAC Breda,,1992,1,1,90,3,4,1,0,1,1,0,0,2.9,12,25,27,1,3,12,2,2
Kostas Lamprou,GRE,Goalkeeper,NAC Breda,,1991,1,1,90,3,5,2,0,0,0,0,0,2.3,8,20,53,4,3,16,0,1
Matheus,BRA,Goalkeeper,Ajax,,1992,9,9,810,9,23,14,4,0,0,0,0,7.4,38,110,345,54,51,105,17,10
Andries Noppert,NED,Goalkeeper,Heerenveen,,1994,16,16,1365,24,67,44,3,1,1,0,0,24.3,65,227,539,58,92,192,13,24
Nick Olij,NED,Goalkeeper,Sparta R'dam,,1995,34,34,3060,43,150,108,6,5,4,1,0,44.8,243,539,1341,143,154,568,46,24
Yanick van Osch,NED,Goalkeeper,RKC Waalwijk,,1997,3,3,270,9,26,17,0,1,1,0,0,9.9,26,65,103,11,35,83,3,2
Rome-Jayden Owusu-Oduro,NED,Goalkeeper,AZ Alkmaar,,2004,28,28,2520,34,85,51,9,3,1,1,1,28.9,120,358,716,87,118,317,26,14
Remko Pasveer,NED,Goalkeeper,Ajax,,1983,24,24,2160,23,89,67,11,0,0,0,0,27.3,148,327,943,109,107,277,25,27
Luca Plogmann,GER,Goalkeeper,Go Ahead Eag,,2000,18,18,1620,32,81,49,4,3,3,0,0,25.5,55,199,640,71,89,312,12,13
Diant Ramaj,GER,Goalkeeper,Ajax,,2001,1,1,90,0,2,2,1,0,0,0,0,0.2,1,10,47,3,5,5,0,1
Robin Roefs,NED,Goalkeeper,NEC Nijmegen,,2003,32,32,2880,42,151,113,10,1,1,0,0,47.7,169,562,1072,137,202,465,52,45
Jasper Schendelaar,NED,Goalkeeper,Zwolle,,2000,30,30,2700,45,144,100,6,5,3,0,2,49.5,152,526,991,160,186,470,38,23
Mark Spenkelink,NED,Goalkeeper,RKC Waalwijk,,1997,4,4,360,12,24,12,0,2,2,0,0,10.0,22,66,155,10,14,59,1,1
Przemysław Tytoń,POL,Goalkeeper,Twente,,1987,3,3,270,10,19,9,0,0,0,0,0,7.8,16,34,100,15,18,34,1,6
Lars Unnerstall,GER,Goalkeeper,Twente,,1990,31,31,2790,39,101,62,11,2,2,0,0,35.8,109,332,892,147,173,403,23,36
Etienne Vaessen,SUR,Goalkeeper,Groningen,,1995,32,32,2880,50,140,91,7,6,5,1,0,50.4,240,717,1073,103,196,448,41,41
Timon Wellenreuther,GER,Goalkeeper,Feyenoord,,1995,29,29,2610,28,99,70,10,2,1,1,0,32.0,129,321,1128,129,96,286,17,77
Jonas Wendlinger,AUT,Goalkeeper,Almere City,,2000,1,0,10,0,0,0,0,0,0,0,0,0.0,1,5,4,0,1,1,1,0
Jeroen Zoet,NED,Goalkeeper,AZ Alkmaar,,1991,6,6,540,3,12,10,3,0,0,0,0,1.5,37,117,180,12,45,65,4,4
Alan Aguerre,ARG,Goalkeeper,ar Cen. Córdoba–SdE,34,1990,6,6,540,7,18,11,1,0,0,0,0,4.2,10,58,91,19,55,84,3,2
Guillermo de Amores,URU,Goalkeeper,uy Peñarol,30,1994,3,3,270,2,10,8,2,0,0,0,0,1.8,11,40,69,19,20,29,1,0
Anthoni,BRA,Goalkeeper,br Internacional,23,2002,6,6,540,8,29,21,2,0,0,0,0,7.8,15,47,87,23,52,76,6,5
Gabriel Arias,CHI,Goalkeeper,ar Racing Club,37,1987,6,6,540,3,14,11,4,0,0,0,0,3.6,16,69,133,10,41,56,4,7
Franco Armani,ARG,Goalkeeper,ar River Plate,38,1986,6,6,540,7,11,5,2,0,0,0,0,3.2,20,51,95,26,47,51,3,6
Marino Arzamendia,PAR,Goalkeeper,py Olimpia,27,1998,2,2,180,7,12,5,0,2,2,0,0,5.0,13,26,42,7,14,19,1,4
Sebastián Britos,URU,Goalkeeper,pe Universitario,37,1988,6,6,540,4,27,23,2,0,0,0,0,6.6,42,108,93,18,61,105,3,11
Lucas Bruera,ARG,Goalkeeper,ve Carabobo,27,1997,6,6,540,13,39,26,0,3,3,0,0,11.2,11,54,67,18,60,95,3,4
Javier Burrai,ECU,Goalkeeper,ar Talleres,34,1990,3,3,270,2,10,7,2,1,0,1,0,3.0,12,24,67,22,20,39,4,2
Jesús Camargo,VEN,Goalkeeper,ve Dep Táchira,27,1997,6,6,540,11,37,26,0,0,0,0,0,11.1,22,65,136,30,55,108,4,15
Martín Campaña,URU,Goalkeeper,uy Peñarol,36,1989,3,3,270,2,13,11,2,0,0,0,0,2.0,17,50,40,4,23,55,4,0
Gabriel Castellón,CHI,Goalkeeper,cl U de Chile,31,1993,6,6,540,6,23,17,2,1,1,0,0,6.1,22,55,106,19,36,83,2,6
Harlen Castillo,COL,Goalkeeper,co Nacional,31,1993,1,1,90,0,2,2,1,0,0,0,0,0.1,4,13,32,2,0,8,0,0
José Contreras Verna,VEN,Goalkeeper,ec Barcelona,30,1994,5,5,396,4,21,16,2,1,0,1,0,5.9,16,63,77,15,44,62,7,0
Rubén Cordano,BOL,Goalkeeper,bo Bolívar,26,1998,2,2,180,4,12,8,0,0,0,0,0,2.6,6,21,82,13,12,19,1,0
Brayan Cortés,CHI,Goalkeeper,cl Colo-Colo,30,1995,5,5,450,15,32,17,0,0,0,0,0,9.3,15,58,72,13,32,56,5,2
Ignacio De Arruabarrena,URU,Goalkeeper,ec Barcelona,28,1997,2,1,144,3,9,6,0,0,0,0,0,2.1,5,14,23,5,20,19,1,3
Diego Enriquez,PER,Goalkeeper,pe Sporting Cristal,23,2002,6,6,540,16,43,27,0,2,2,0,0,12.9,19,56,131,18,48,85,4,6
Marcos Felipe,BRA,Goalkeeper,br Bahia,29,1996,4,4,360,6,19,13,1,0,0,0,0,5.0,10,26,118,22,24,55,0,5
Gatito Fernández,PAR,Goalkeeper,py Cerro Porteño,37,1988,3,3,270,5,15,10,0,0,0,0,0,5.3,13,31,56,11,27,39,1,5
Guido Herrera,ARG,Goalkeeper,ar Talleres,33,1992,3,3,270,6,12,6,0,0,0,0,0,6.1,8,18,66,9,12,27,1,4
John,BRA,Goalkeeper,br Botafogo (RJ),29,1996,6,6,540,5,19,14,2,1,1,0,0,5.3,29,62,148,25,33,92,5,7
Carlos Lampe,BOL,Goalkeeper,bo Bolívar,38,1987,1,1,90,0,3,3,1,0,0,0,0,0.6,1,2,48,8,5,5,0,3
Federico Lanzillota,ARG,Goalkeeper,bo Bolívar,32,1992,3,3,270,7,12,5,1,0,0,0,0,5.1,1,9,131,22,30,25,3,10
Marcelo Lomba,BRA,Goalkeeper,br Palmeiras,38,1986,1,1,90,0,1,1,1,0,0,0,0,0.0,1,1,24,8,5,8,2,0
Matías Mansilla,ARG,Goalkeeper,ar Estudiantes–LP,29,1996,6,6,540,5,23,18,4,1,1,0,0,7.0,33,78,115,24,51,95,8,2
Tomás Marchiori,ARG,Goalkeeper,ar Vélez Sarsfield,30,1995,6,6,540,4,20,18,3,0,0,0,0,5.2,24,72,91,15,44,71,1,1
Alexis Martin Arias,ARG,Goalkeeper,py Cerro Porteño,33,1992,3,3,270,6,21,15,1,0,0,0,0,5.7,33,63,49,8,37,58,1,2
Luis Mejía,PAN,Goalkeeper,uy Nacional,34,1991,6,6,540,10,31,21,1,1,1,0,0,10.7,14,54,85,12,35,85,6,3
Rodrigo Morínigo,PAR,Goalkeeper,py Libertad,26,1998,5,5,450,3,18,15,3,0,0,0,0,3.9,41,97,104,10,45,87,1,3
Gastón Olveira,URU,Goalkeeper,py Olimpia,32,1993,3,3,270,4,13,9,1,0,0,0,0,2.8,15,39,64,5,20,35,0,1
David Ospina,COL,Goalkeeper,co Nacional,36,1988,5,5,450,6,22,16,1,3,3,0,0,6.7,25,56,179,26,13,63,3,3
Fernando de Paul,CHI,Goalkeeper,cl Colo-Colo,34,1991,1,1,90,0,4,4,1,0,0,0,0,0.2,3,6,21,9,4,9,0,0
Rafael Pires,BRA,Goalkeeper,br São Paulo,36,1989,6,6,540,4,16,12,3,1,0,0,1,4.1,14,47,86,16,43,73,1,4
Aldair Quintana,COL,Goalkeeper,co CA Bucaramanga,31,1994,6,6,540,10,34,23,1,2,1,1,0,10.5,26,64,126,33,43,80,4,6
João Ricardo Riedi,BRA,Goalkeeper,br Fortaleza,36,1988,6,6,540,5,30,25,3,1,1,0,0,9.2,25,68,96,21,41,76,7,7
Ronaldo,BRA,Goalkeeper,br Bahia,28,1996,2,2,180,1,10,9,1,0,0,0,0,2.1,11,22,60,7,14,23,1,7
Agustín Rossi,ARG,Goalkeeper,br Flamengo,29,1995,6,6,540,3,15,12,4,1,1,0,0,3.7,15,47,152,24,27,61,4,6
Rodrigo Saracho,ARG,Goalkeeper,bo San Antonio Bulo Bulo,31,1994,6,6,540,15,46,31,0,1,1,0,0,14.4,43,135,126,14,79,117,5,5
Martín Silva,URU,Goalkeeper,py Libertad,42,1983,1,1,90,2,4,2,0,0,0,0,0,2.1,3,7,18,2,12,10,0,2
Gonzalo Valle,ECU,Goalkeeper,ec LDU de Quito,29,1996,6,6,526,4,28,24,3,0,0,0,0,7.5,29,80,165,23,62,111,5,2
Lucas Verza,PAR,Goalkeeper,py Olimpia,24,2001,1,1,90,0,3,2,1,1,0,1,0,1.3,4,13,21,7,9,11,1,0
Alexis Villa,ECU,Goalkeeper,ec LDU de Quito,23,2001,1,0,14,0,0,0,1,0,0,0,0,0.0,2,6,4,0,2,2,0,0
Guido Villar,ARG,Goalkeeper,ec Independiente,27,1998,6,6,540,11,29,18,1,2,1,1,0,8.8,19,46,110,18,39,85,2,5
Guillermo Vizcarra,BOL,Goalkeeper,pe Alianza Lima,32,1993,6,6,540,11,29,18,0,2,2,0,0,6.8,36,87,118,33,55,88,5,3
Wéverton,BRA,Goalkeeper,br Palmeiras,37,1987,5,5,450,4,22,18,3,0,0,0,0,4.0,16,62,98,26,38,75,5,3
Anthoni,BRA,Goalkeeper,Internacional,23,2002,12,11,1035,18,38,22,2,1,1,0,0,11.3,30,97,192,25,79,119,4,14
Léo Aragão,BRA,Goalkeeper,Cruzeiro,23,2002,1,1,90,0,1,1,1,0,0,0,0,0.2,1,2,11,3,5,9,0,0
Lucas Arcanjo,BRA,Goalkeeper,Vitória,26,1998,16,16,1440,16,84,68,4,0,0,0,0,21.3,62,193,354,71,145,309,14,6
Gabriel Brazão,BRA,Goalkeeper,Santos,24,2000,16,16,1440,21,80,60,4,3,3,0,0,21.6,56,154,283,53,125,245,4,15
Brenno,BRA,Goalkeeper,Fortaleza,26,1999,1,1,90,1,3,2,0,0,0,0,0,2.0,3,9,21,5,10,8,0,0
Cássio,BRA,Goalkeeper,Cruzeiro,38,1987,16,16,1440,11,63,51,8,1,0,1,0,14.1,45,121,216,42,117,257,5,10
Gabriel Delfim,BRA,Goalkeeper,Atlético Mineiro,23,2002,1,1,90,2,5,3,0,0,0,0,0,0.9,2,10,27,4,6,12,3,4
Matheus Donelli,BRA,Goalkeeper,Corinthians,23,2002,5,5,450,6,19,13,1,1,1,0,0,5.7,13,33,97,19,35,53,3,2
Éverson,BRA,Goalkeeper,Atlético Mineiro,35,1990,14,14,1260,14,55,42,7,0,0,0,0,16.3,74,187,455,58,44,167,7,29
Fábio,BRA,Goalkeeper,Fluminense,44,1980,15,15,1350,20,58,37,3,1,0,1,0,18.5,27,80,231,58,90,200,13,9
Marcos Felipe,BRA,Goalkeeper,Bahia,29,1996,11,10,972,9,37,28,4,2,2,0,0,10.6,47,117,336,53,92,184,8,24
Bruno Ferreira,BRA,Goalkeeper,Ceará,31,1994,9,9,783,9,26,17,2,0,0,0,0,9.8,46,142,178,23,76,144,10,7
Caíque França,BRA,Goalkeeper,Sport Recife,30,1995,12,12,1080,20,59,40,2,4,3,0,1,17.7,44,106,223,52,98,164,10,11
Daniel Fuzato,BRA,Goalkeeper,Vasco da Gama,28,1997,1,0,2,1,2,1,0,0,0,0,0,0.9,2,6,3,0,3,4,0,0
Gabriel,BRA,Goalkeeper,Sport Recife,32,1992,3,3,270,5,13,8,0,0,0,0,0,3.7,15,43,65,10,16,36,0,2
