Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions
Gabriel,BRA,Goalkeeper,Vitória,32,1992,1,1,90,2,4,2,0,0,0,0,0,1.2,1,10,28,4,6,11,0,0
Gustavo,BRA,Goalkeeper,Juventude,32,1993,10,10,855,22,56,33,1,3,2,1,0,18.0,27,81,224,47,67,148,8,1
Léo Jardim,BRA,Goalkeeper,Vasco da Gama,30,1995,15,15,1345,19,55,39,2,0,0,0,0,16.8,29,112,342,56,103,246,15,12
John,BRA,Goalkeeper,Botafogo (RJ),29,1996,15,15,1350,8,53,44,9,0,0,0,0,12.4,57,153,451,47,77,208,11,9
Lucão,BRA,Goalkeeper,RB Bragantino,24,2001,3,3,270,4,18,14,1,0,0,0,0,5.8,3,19,76,14,27,53,2,2
Magrão,BRA,Goalkeeper,Fortaleza,25,2000,3,3,270,4,12,8,0,2,2,0,0,4.2,9,28,44,12,24,30,1,1
Marcão,BRA,Goalkeeper,Juventude,33,1992,6,5,495,10,41,32,1,1,1,0,0,11.5,12,56,130,29,24,78,4,4
Fernando Miguel,BRA,Goalkeeper,Ceará,40,1985,8,7,657,7,33,26,3,2,2,0,0,8.7,38,116,168,25,59,148,9,9
Alex Muralha,BRA,Goalkeeper,Mirassol,35,1989,6,6,540,9,25,16,0,1,1,0,0,7.8,13,53,123,19,34,113,3,14
Rafael Pires,BRA,Goalkeeper,São Paulo,36,1989,17,17,1530,19,65,47,5,3,3,0,0,21.4,44,173,297,34,115,275,7,13
João Ricardo Riedi,BRA,Goalkeeper,Fortaleza,36,1988,12,12,1080,18,62,44,5,1,0,1,0,18.7,56,142,260,61,82,147,10,12
Sergio Rochet,URU,Goalkeeper,Internacional,32,1993,5,5,405,2,20,18,2,0,0,0,0,4.4,11,53,105,26,23,73,1,0
Ronaldo,BRA,Goalkeeper,Bahia,28,1996,5,5,378,4,14,9,1,1,0,1,0,4.3,11,47,123,17,22,60,7,6
Agustín Rossi,ARG,Goalkeeper,Flamengo,29,1995,16,16,1440,6,42,34,11,2,0,2,0,8.5,47,116,408,48,56,176,19,12
Cleiton Schwengber,BRA,Goalkeeper,RB Bragantino,27,1997,14,14,1260,16,56,41,5,0,0,0,0,15.0,44,113,343,78,94,238,9,11
Hugo Souza,BRA,Goalkeeper,Corinthians,26,1999,12,12,1080,14,42,28,5,2,2,0,0,15.3,40,88,234,40,78,137,4,2
Tiago Volpi,BRA,Goalkeeper,Grêmio,34,1990,16,16,1440,22,73,51,3,4,4,0,0,27.3,115,257,380,41,111,270,13,9
Walter,BRA,Goalkeeper,Mirassol,37,1987,9,9,810,5,44,38,4,1,0,1,0,12.0,32,99,246,51,45,182,8,3
Wéverton,BRA,Goalkeeper,Palmeiras,37,1987,15,15,1350,12,41,28,6,3,2,1,0,13.4,54,217,343,41,88,184,12,16
Carlos Acevedo,MEX,Goalkeeper,Santos,,1996,33,33,2970,65,187,125,3,3,2,1,0,55.3,164,429,823,151,309,522,16,28
Gil Alcalá,MEX,Goalkeeper,UNAM,,1992,4,4,360,2,7,5,3,0,0,0,0,1.8,19,40,129,31,18,43,1,6
Guillermo Allison,MEX,Goalkeeper,Querétaro,,1990,25,25,2250,42,131,87,5,7,5,2,0,39.8,145,423,477,84,263,414,23,26
Esteban Andrada,ARG,Goalkeeper,Monterrey,,1991,24,24,2160,29,98,69,8,4,4,0,0,27.7,117,296,794,138,148,297,30,27
Luis Ángel Malagón,MEX,Goalkeeper,América,,1997,29,29,2565,27,97,70,10,2,2,0,0,23.7,114,289,707,80,224,309,12,23
José Antonio Rodríguez,MEX,Goalkeeper,Tijuana,,1992,21,21,1880,36,113,79,3,3,3,0,0,33.9,118,298,870,87,122,275,16,23
Alfonso Blanco Antúnez,MEX,Goalkeeper,León,,1987,26,26,2340,33,129,98,7,4,3,0,1,35.3,128,329,695,128,241,365,11,20
Luis Cárdenas,MEX,Goalkeeper,Monterrey,,1993,10,10,900,13,41,28,1,1,1,0,0,12.0,38,75,263,64,73,123,5,15
José Corona,MEX,Goalkeeper,Tijuana,,1981,11,10,910,18,53,34,1,3,2,1,0,20.0,27,70,338,42,44,109,2,8
Rodolfo Cota,MEX,Goalkeeper,América,,1987,6,5,495,4,17,13,3,0,0,0,0,3.5,14,37,171,18,30,37,2,6
Arturo Delgado,MEX,Goalkeeper,FC Juárez,,2002,2,2,180,1,11,10,1,0,0,0,0,2.0,11,32,60,8,19,16,2,0
Benny Díaz,MEX,Goalkeeper,FC Juárez,,1998,11,11,990,26,63,37,2,5,5,0,0,21.9,47,141,299,55,103,174,8,19
José Eulogio,MEX,Goalkeeper,Pachuca,,2004,2,2,180,4,8,4,0,0,0,0,0,2.5,8,16,27,7,16,15,0,0
Carlos Felipe Rodríguez,MEX,Goalkeeper,UANL,,1989,3,3,270,1,10,9,2,0,0,0,0,1.6,6,23,56,12,19,41,1,1
Eduardo García,MEX,Goalkeeper,Guadalajara,,2002,2,2,180,3,9,6,1,0,0,0,0,2.0,9,22,46,7,19,35,2,1
Hugo González Durán,MEX,Goalkeeper,Mazatlán,,1990,34,34,3015,45,148,104,9,8,6,0,2,42.6,187,466,826,155,287,478,27,30
Andrés Gudiño,MEX,Goalkeeper,Cruz Azul,,1997,1,1,90,1,3,2,0,0,0,0,0,0.5,2,3,32,4,5,5,0,0
Ricardo Gutiérrez,MEX,Goalkeeper,Mazatlán,,1997,1,0,45,0,5,5,0,0,0,0,0,0.7,2,5,12,1,3,4,0,0
Nahuel Guzmán,ARG,Goalkeeper,UANL,,1986,28,28,2519,26,104,78,9,5,4,0,1,30.1,154,313,847,94,184,315,16,41
Jorge Hernández,MEX,Goalkeeper,Querétaro,,1998,9,9,810,13,41,28,2,2,1,0,1,12.8,31,125,137,21,85,190,4,0
Héctor Holguín,MEX,Goalkeeper,Santos,,2001,1,1,90,1,5,4,0,1,1,0,0,1.6,2,7,36,5,10,22,0,0
Oscar Jiménez,MEX,Goalkeeper,León,,1988,8,8,720,11,41,30,1,0,0,0,0,10.6,43,101,196,37,69,95,8,5
Miguel Jiménez Ponce,MEX,Goalkeeper,Puebla,,1990,24,24,2160,40,117,75,4,6,3,3,0,36.5,125,439,414,61,255,478,17,9
Julio José González,MEX,Goalkeeper,UNAM,,1991,13,13,1170,11,44,34,6,2,2,0,0,10.8,62,178,319,62,113,143,6,30
Julio José González,MEX,Goalkeeper,Puebla,,1991,6,6,540,8,30,22,1,1,1,0,0,6.1,25,71,111,25,69,83,3,5
Sebastián Jurado,MEX,Goalkeeper,FC Juárez,,1997,21,21,1890,30,87,58,5,2,2,0,0,27.2,69,258,578,64,120,263,11,13
Pablo Lara,MEX,Goalkeeper,UNAM,,2005,7,7,630,9,32,24,2,0,0,0,0,7.5,35,97,173,24,57,70,5,19
Cesar López,MEX,Goalkeeper,Atlético,,2000,5,4,436,7,22,15,2,0,0,0,0,5.4,17,64,152,21,46,61,1,14
Pau López,ESP,Goalkeeper,Toluca,,1994,10,10,900,13,37,25,4,0,0,0,0,8.9,29,88,354,39,78,106,4,13
Luis Manuel García,MEX,Goalkeeper,Toluca,,1992,5,5,450,6,15,9,1,0,0,0,0,4.6,17,53,134,17,27,64,3,2
Kevin Mier,COL,Goalkeeper,Cruz Azul,,2000,33,33,2970,27,88,61,14,4,3,1,0,25.2,115,285,1254,98,217,373,14,43
Carlos Moreno,MEX,Goalkeeper,Pachuca,,1998,32,32,2880,48,142,93,6,5,4,1,0,38.4,180,373,646,177,276,405,27,42
Miguel Ortega,MEX,Goalkeeper,Tijuana,,1995,3,3,270,6,13,7,0,1,1,0,0,5.8,14,31,107,10,12,32,2,4
Alex Padilla,ESP,Goalkeeper,UNAM,,2003,10,10,900,17,39,22,2,1,1,0,0,13.5,48,131,264,40,67,124,9,6
José Rangel Aguilar,MEX,Goalkeeper,Guadalajara,,2000,32,32,2879,32,121,87,11,3,1,2,0,32.4,147,391,919,150,215,383,32,36
Jesús Rodríguez,MEX,Goalkeeper,Puebla,,1993,4,4,360,8,20,12,1,0,0,0,0,8.0,21,41,123,18,38,48,4,4
Andrés Sánchez,MEX,Goalkeeper,Atlético,,1997,30,30,2624,45,132,86,3,2,1,1,0,40.5,92,272,866,135,269,398,23,49
José Santiago Hernández,MEX,Goalkeeper,Atlas,,1997,3,3,270,3,6,3,1,1,1,0,0,2.5,10,27,66,9,14,24,1,2
Fernando Tapia,MEX,Goalkeeper,UANL,,2001,3,3,270,2,17,15,1,0,0,0,0,3.0,12,35,68,14,36,52,2,5
Ezequiel Unsain,ARG,Goalkeeper,Necaxa,,1995,34,34,3060,55,165,110,9,5,5,0,0,52.0,203,551,859,115,287,531,33,29
Camilo Vargas,COL,Goalkeeper,Atlas,,1989,31,31,2790,52,151,99,7,4,3,1,0,42.3,126,404,866,137,249,429,11,32
Tiago Volpi,BRA,Goalkeeper,Toluca,,1990,19,19,1710,19,87,68,6,1,1,0,0,24.3,107,249,643,66,125,259,18,23
Lucas Acosta,ARG,Goalkeeper,Sarmiento,30,1995,19,19,1710,23,93,72,5,2,1,0,1,29.1,107,301,417,41,144,327,14,18
Alan Aguerre,ARG,Goalkeeper,Cen. Córdoba–SdE,34,1990,17,17,1530,21,56,36,6,2,2,0,0,18.9,57,191,253,39,120,214,6,6
Ignacio Arce,ARG,Goalkeeper,Deportivo Riestra,33,1992,19,19,1710,10,65,57,14,3,3,0,0,17.0,211,527,480,14,161,419,39,31
Gabriel Arias,CHI,Goalkeeper,Racing Club,37,1987,14,14,1194,10,47,36,5,2,1,1,0,11.2,64,169,283,50,111,169,5,19
Franco Armani,ARG,Goalkeeper,River Plate,38,1986,19,19,1710,10,58,48,11,0,0,0,0,15.9,55,124,327,92,114,193,7,20
Williams Barlasina,ARG,Goalkeeper,Aldosivi,27,1998,4,4,360,8,16,8,0,0,0,0,0,6.3,13,42,66,19,33,54,4,1
Williams Barlasina,ARG,Goalkeeper,Newell's OB,27,1998,2,2,180,3,13,10,0,0,0,0,0,3.0,12,25,28,8,13,44,2,0
Enrique Bologna,ARG,Goalkeeper,Defensa y Just,43,1982,19,19,1710,24,87,63,7,1,1,0,0,27.3,138,279,454,67,138,304,12,11
Matías Borgogno,ARG,Goalkeeper,San Martín de San Juan,26,1998,19,19,1710,22,71,49,4,1,1,0,0,22.2,139,371,421,33,155,273,22,15
Leandro Brey,ARG,Goalkeeper,Boca Juniors,22,2002,2,2,180,1,4,3,1,0,0,0,0,1.0,6,20,44,10,16,40,0,2
Jorge Broun,ARG,Goalkeeper,Rosario Central,39,1986,17,17,1530,9,54,46,9,0,0,0,0,12.3,92,192,310,73,161,287,10,1
Javier Burrai,ECU,Goalkeeper,Talleres,34,1990,2,1,135,1,4,3,1,0,0,0,0,0.3,10,22,45,4,15,34,1,2
Facundo Cambeses,ARG,Goalkeeper,Racing Club,28,1997,7,5,513,8,30,22,2,0,0,0,0,6.2,25,79,106,19,55,89,2,4
Thiago Cardozo,URU,Goalkeeper,Unión,28,1996,14,14,1256,16,51,35,3,2,2,0,0,16.5,47,136,248,66,98,180,7,6
Thiago Cardozo,URU,Goalkeeper,Belgrano,28,1996,3,3,270,1,7,6,2,1,0,0,1,1.3,15,61,62,8,21,56,4,0
Jorge Carranza,ARG,Goalkeeper,Aldosivi,44,1981,15,15,1350,22,65,43,4,3,3,0,0,16.9,75,184,301,63,95,238,12,11
Ezequiel Centurión,ARG,Goalkeeper,Ind. Rivadavia,28,1997,19,19,1710,19,77,58,8,4,3,1,0,20.4,106,324,397,69,161,337,18,10
Juan Cozzani,ARG,Goalkeeper,Platense,26,1998,19,19,1710,14,70,58,8,2,2,0,0,19.9,101,381,377,27,121,284,12,19
Tomás Durso,ARG,Goalkeeper,Atlé Tucumán,26,1999,11,11,990,17,46,29,2,3,1,1,1,17.2,63,177,245,46,87,128,8,16
Juan Espínola,PAR,Goalkeeper,Belgrano,30,1994,11,11,990,18,41,23,3,1,1,0,0,12.0,65,204,289,39,71,182,13,8
Juan Espínola,PAR,Goalkeeper,Newell's OB,30,1994,1,1,90,0,6,6,1,0,0,0,0,0.4,11,21,16,4,9,13,2,1
Hernán Galíndez,ECU,Goalkeeper,Huracán,38,1987,16,16,1440,12,44,32,8,3,2,1,0,14.9,71,217,345,43,109,226,13,6
Orlando Gil,PAR,Goalkeeper,San Lorenzo,25,2000,19,19,1710,11,55,45,11,0,0,0,0,13.1,97,306,336,45,161,280,12,4
Juan González,URU,Goalkeeper,Atlé Tucumán,32,1993,6,6,540,5,22,18,2,1,1,0,0,5.0,39,92,137,17,42,87,9,6
Guido Herrera,ARG,Goalkeeper,Talleres,33,1992,18,18,1575,17,55,40,6,1,1,0,0,16.9,104,262,485,57,98,243,18,10
Marcos Ignacio Ledesma,ARG,Goalkeeper,Barracas Central,28,1996,19,19,1710,22,78,58,6,0,0,0,0,19.9,117,320,324,67,130,351,31,8
Luis Ingolotti,ARG,Goalkeeper,Gimnasia–LP,25,2000,3,3,270,7,14,7,0,2,2,0,0,7.1,11,31,55,12,21,54,1,0
Nelson Insfrán,ARG,Goalkeeper,Gimnasia–LP,30,1995,16,16,1440,12,61,47,8,3,1,2,0,18.6,97,264,350,46,115,279,16,5
Nahuel Losada,ARG,Goalkeeper,Lanús,32,1993,18,18,1620,12,65,52,8,4,2,1,1,17.9,78,207,438,95,84,269,29,23
Matías Mansilla,ARG,Goalkeeper,Atlé Tucumán,29,1996,2,2,180,2,5,3,0,1,1,0,0,2.1,9,30,39,4,9,28,2,1
Matías Mansilla,ARG,Goalkeeper,Estudiantes–LP,29,1996,16,16,1440,19,52,32,5,2,1,1,0,15.8,67,186,274,69,131,234,9,20
Agustín Marchesín,ARG,Goalkeeper,Boca Juniors,37,1988,17,17,1530,12,57,45,8,0,0,0,0,14.5,57,157,370,81,143,245,12,9
Tomás Marchiori,ARG,Goalkeeper,Vélez Sarsfield,30,1995,18,18,1620,19,61,43,7,2,1,0,1,16.4,46,147,315,70,147,225,14,6
Diego Matías Rodríguez,ARG,Goalkeeper,Arg Juniors,36,1989,19,19,1710,11,56,45,11,1,0,1,0,13.8,111,240,519,37,101,205,6,3
Sebastián Meza,ARG,Goalkeeper,Huracán,25,2000,3,3,270,5,10,5,1,1,1,0,0,3.5,8,35,57,14,12,37,2,2
Lautaro Morales,ARG,Goalkeeper,Lanús,25,1999,1,1,90,1,2,1,0,0,0,0,0,1.0,3,6,16,2,6,7,0,0
Fernando Muslera,URU,Goalkeeper,Estudiantes–LP,39,1986,3,3,270,2,16,14,1,0,0,0,0,4.5,20,43,66,15,38,62,4,2
Keylor Navas,CRC,Goalkeeper,Newell's OB,38,1986,14,14,1260,11,64,54,6,1,0,0,1,16.7,106,222,247,48,132,272,10,3
Franco Petroli,ARG,Goalkeeper,Godoy Cruz,27,1998,19,19,1710,19,68,49,9,2,1,1,0,19.5,147,361,558,73,108,286,29,20
Josue Reinatti,ARG,Goalkeeper,Newell's OB,22,2003,2,2,180,4,14,10,0,1,1,0,0,4.6,7,11,55,20,6,33,3,1
Rodrigo Rey,ARG,Goalkeeper,Independiente,34,1991,19,19,1710,17,58,44,7,3,3,0,0,18.9,92,216,435,77,116,229,11,6
Randall Rodríguez,URU,Goalkeeper,Vélez Sarsfield,21,2003,1,1,90,4,8,4,0,1,1,0,0,3.1,4,16,23,5,7,10,1,0
Manuel Roffo,ARG,Goalkeeper,Instituto,25,2000,19,19,1710,24,77,53,7,2,2,0,0,21.8,104,260,373,62,136,266,20,12
Facundo Sanguinetti,ARG,Goalkeeper,Banfield,24,2001,19,19,1710,23,81,57,5,5,3,2,0,23.7,105,288,350,58,139,289,12,13
Matías Tagliamonte,ARG,Goalkeeper,Unión,27,1998,5,5,450,2,13,10,3,1,0,1,0,3.1,24,71,76,19,35,74,5,2
Manuel Vicentini,ARG,Goalkeeper,Belgrano,35,1990,5,5,450,5,18,12,2,1,0,1,0,8.8,24,93,113,18,41,107,3,14
Axel Werner,ARG,Goalkeeper,Rosario Central,29,1996,2,2,180,0,3,3,2,0,0,0,0,1.5,6,19,28,7,15,30,1,0
Felipe Zenobio,ARG,Goalkeeper,Tigre,25,2000,19,19,1710,15,65,50,8,3,2,0,1,18.8,81,222,332,67,123,279,21,8
Juan Zozaya,ARG,Goalkeeper,Cen. Córdoba–SdE,24,2001,2,2,180,3,8,5,0,0,0,0,0,3.9,6,14,28,6,12,29,0,0
Andrew,BRA,Goalkeeper,Gil Vicente FC,,2001,33,33,2970,46,125,80,7,7,6,0,1,42.9,129,357,969,158,278,488,36,34
Brian Araújo,FRA,Goalkeeper,Gil Vicente FC,,2000,1,1,90,1,3,2,0,0,0,0,0,1.0,5,9,28,3,3,14,0,2
Daniel Azevedo,POR,Goalkeeper,Casa Pia,,1998,1,1,90,2,4,2,0,0,0,0,0,2.1,1,10,19,1,9,20,1,1
Gabriel Batista,BRA,Goalkeeper,Santa Clara,,1998,34,34,3060,32,114,81,11,6,4,1,1,29.1,164,518,738,118,283,453,39,27
Ricardo Batista,POR,Goalkeeper,Casa Pia,,1986,1,1,90,1,2,1,0,1,1,0,0,0.8,1,2,31,3,3,10,0,2
Simão Bertelli,BRA,Goalkeeper,AVS Futebol,,1993,11,11,990,15,57,41,2,3,2,1,0,21.1,60,154,295,45,82,150,8,8
Bruno Brigido,BRA,Goalkeeper,Estrela,,1991,18,18,1575,30,83,54,1,2,2,0,0,27.3,66,243,425,90,132,257,9,15
Lazar Carević,MNE,Goalkeeper,Famalicão,,1999,18,18,1620,21,73,52,7,4,3,1,0,23.7,71,183,430,71,97,247,6,18
César,BRA,Goalkeeper,Boavista,,1992,16,16,1440,30,79,51,2,3,3,0,0,28.6,75,219,251,60,125,213,18,10
Kevin Chamorro,CRC,Goalkeeper,Estoril,,2000,4,4,360,3,12,9,2,1,1,0,0,3.7,12,57,81,11,22,46,4,13
Diogo Costa,POR,Goalkeeper,Porto,,1999,32,32,2880,27,85,57,16,7,5,2,0,29.2,132,305,1072,139,146,310,19,51
João Paulo Santos Costa,POR,Goalkeeper,Estrela,,1996,14,14,1260,17,54,36,4,4,3,1,0,19.0,94,244,312,37,120,181,2,14
Rui Encarnação,POR,Goalkeeper,Nacional,,1998,2,1,135,4,7,3,0,2,2,0,0,2.8,5,14,30,2,7,19,0,2
Daniel Figueira,POR,Goalkeeper,Estoril,,1998,1,1,90,4,7,3,0,1,1,0,0,2.4,2,6,19,6,5,16,1,0
Lucas França,BRA,Goalkeeper,Nacional,,1996,33,33,2925,46,149,103,8,9,7,0,2,48.9,167,482,663,108,308,509,33,24
João Gonçalves,POR,Goalkeeper,Boavista,,2000,4,4,360,2,8,6,2,0,0,0,0,3.3,31,88,74,3,36,59,1,1
Marko Gudžulić,SRB,Goalkeeper,Estrela,,2002,2,2,180,3,9,6,1,1,0,1,0,2.5,15,48,54,7,19,37,4,1
Lukáš Horníček,CZE,Goalkeeper,Braga,,2002,17,17,1530,11,58,47,8,1,1,0,0,13.4,62,209,538,91,92,202,16,34
Franco Israel,URU,Goalkeeper,Sporting CP,,2000,11,11,990,9,25,16,7,0,0,0,0,7.0,13,33,214,45,50,99,2,4
Jhonatan,BRA,Goalkeeper,Rio Ave,,1991,8,8,720,13,43,30,2,0,0,0,0,12.3,30,102,231,40,78,126,3,5
Luiz Lúcio Reis Júnior,BRA,Goalkeeper,Famalicão,,2001,1,1,90,0,2,2,1,0,0,0,0,0.3,11,24,32,7,6,17,3,2
Kaique,BRA,Goalkeeper,Farense,,2003,6,6,540,6,21,14,1,1,0,1,0,7.1,31,104,170,33,53,115,5,1
Kewin,BRA,Goalkeeper,Moreirense,,1995,29,29,2610,42,114,72,6,3,3,0,0,39.3,154,440,789,126,229,472,36,19
Vladan Kovačević,BIH,Goalkeeper,Sporting CP,,1998,6,6,540,5,16,11,2,0,0,0,0,3.7,6,16,98,20,14,52,3,4
Nico Mantl,GER,Goalkeeper,Arouca,,2000,29,29,2610,43,120,79,7,8,8,0,0,40.6,115,284,746,127,202,445,22,42
Matheus,BRA,Goalkeeper,Braga,,1992,17,17,1530,19,65,47,7,2,2,0,0,17.6,42,167,478,72,106,183,9,25
Francisco Meixedo,POR,Goalkeeper,Estrela,,2001,1,0,45,0,3,3,1,0,0,0,0,0.2,4,9,14,4,7,6,0,0
Mika,POR,Goalkeeper,Moreirense,,1991,1,0,3,0,0,0,1,0,0,0,0,0.0,0,0,2,0,0,0,0,0
Cezary Miszta,POL,Goalkeeper,Rio Ave,,2001,26,26,2325,42,126,89,3,3,3,0,0,40.8,105,349,696,124,225,406,19,24
Guillermo Ochoa,MEX,Goalkeeper,AVS Futebol,,1985,23,23,2070,45,118,74,6,1,1,0,0,39.4,128,293,486,90,219,378,8,16
Cláudio Ramos,POR,Goalkeeper,Porto,,1991,2,2,180,3,8,5,0,1,1,0,0,3.3,4,10,44,6,7,14,2,2
Joel Robles,ESP,Goalkeeper,Estoril,,1990,29,29,2610,46,132,85,5,6,5,1,0,50.0,159,513,659,111,222,405,17,43
Caio Secco,BRA,Goalkeeper,Moreirense,,1990,5,5,447,8,23,15,0,2,2,0,0,7.4,12,66,113,21,40,92,5,11
Patrick Sequeira,CRC,Goalkeeper,Casa Pia,,1999,32,32,2880,41,157,117,7,7,6,0,1,42.5,118,442,919,160,190,472,37,24
Rui Silva,POR,Goalkeeper,Sporting CP,,1994,17,17,1530,13,32,21,6,4,4,0,0,13.5,44,121,294,51,91,185,12,28
Samuel Soares,POR,Goalkeeper,Benfica,,2002,2,2,180,0,5,4,2,1,0,1,0,1.0,2,6,28,11,10,13,2,1
Matheus Teixeira,BRA,Goalkeeper,Rio Ave,,1999,1,0,15,0,0,0,0,0,0,0,0,0.0,0,3,8,0,2,1,0,0
Tomé,POR,Goalkeeper,Boavista,,2006,2,2,180,5,10,5,0,0,0,0,0,2.3,13,44,21,0,26,33,0,2
Anatolii Trubin,UKR,Goalkeeper,Benfica,,2001,32,32,2880,28,101,72,13,3,2,1,0,33.5,73,196,696,137,163,287,22,18
Tomáš Vaclík,CZE,Goalkeeper,Boavista,,1989,12,12,1080,22,76,55,3,3,3,0,0,22.9,75,195,247,65,120,202,11,12
João Valido,POR,Goalkeeper,Arouca,,2000,5,5,450,6,20,14,1,1,1,0,0,5.5,17,32,105,22,50,70,9,8
Bruno Varela,CPV,Goalkeeper,Vitória,,1994,34,34,3060,37,100,63,13,7,5,0,2,32.9,115,311,875,120,235,389,21,35
Ricardo Velho,POR,Goalkeeper,Farense,,1998,28,28,2520,40,126,88,6,7,6,0,1,40.1,155,463,636,109,254,453,31,24
Ivan Zlobin,RUS,Goalkeeper,Famalicão,,1997,15,15,1350,18,63,45,5,1,1,0,0,23.0,48,158,353,61,92,212,16,7
