Team,Pts
Zrinjski Mostar,10000
Lech Poznań,19000
Jagiellonia,14000
Rayo Vallecano,18890
Lausanne-Sport,6725
Dynamo Kyiv,23500
AC Omonia,17375
KuPS,10000
Shelbourne FC,2993
Aberdeen,9500
FC Noah,5000
Fiorentina,62000
Legia Warsaw,31000
Sparta Prague,29500
Raków,8000
Slovan Bratislava,33500
NK Celje,14000
AÉK Lárnaka,7500
Red Imps,10000
Rapid Wien,32250
Ħamrun Spartans FC,6000
Shkëndija 79,7500
Breiðablik,9000
Crystal Palace,23039
Mainz 05,17266
KF Drita,9000
Häcken,7000
Shakhtar,52000
Rijeka,12000
Sigma Olomouc,8820
Samsunspor,8780
Shamrock Rovers,17875
CS U Craiova,6500
Strasbourg,14618
AEK Athens,9500
AZ Alkmaar,54500