Player,Game Week,Team,League,Nationality,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total)
Ørjan Nyland,J1,Sevilla,Spanish La Liga,NOR,GK,Goalkeeper,34,90,3.0,3.0,0.0,2.6,-0.4,0,2.0,13,36.0,5.0,1159.2,4.0,257.2,18,0.0,3.0,65.1
Marko Dmitrović,J1,Espanyol,Spanish La Liga,SRB,GK,Goalkeeper,33,90,4.0,1.0,3.0,1.3,0.3,0,5.0,12,31.0,5.0,945.5,7.0,242.9,13,0.0,0.0,0.0
Jan Oblak,J1,Atlético Madrid,Spanish La Liga,SVN,GK,Goalkeeper,32,90,5.0,2.0,3.0,1.4,-0.6,0,3.0,7,21.0,3.0,611.1,6.0,238.8,21,0.0,0.0,0.0
Matías Dituro,J1,Elche,Spanish La Liga,ARG,GK,Goalkeeper,38,90,4.0,1.0,3.0,1.8,0.8,0,7.0,12,64.0,5.0,1536.0,2.0,100.0,8,2.0,4.0,81.2
Pau López,J1,Betis,Spanish La Liga,ESP,GK,Goalkeeper,30,90,2.0,1.0,1.0,0.7,-0.3,0,0.0,8,16.0,3.0,563.2,5.0,188.0,14,1.0,0.0,0.0
Thibaut Courtois,J1,Real Madrid,Spanish La Liga,BEL,GK,Goalkeeper,33,90,0.0,0.0,0.0,0.0,0.0,1,4.0,8,31.0,7.0,995.1,2.0,68.0,6,0.0,6.0,136.8
Sergio Herrera,J1,Osasuna,Spanish La Liga,ESP,GK,Goalkeeper,32,90,5.0,1.0,4.0,1.3,0.3,0,5.0,12,15.0,2.0,421.5,11.0,569.8,14,0.0,0.0,0.0
Pau López,J2,Betis,Spanish La Liga,ESP,GK,Goalkeeper,30,90,5.0,0.0,5.0,0.3,0.3,1,6.0,12,30.0,2.0,939.0,6.0,322.2,14,0.0,1.0,38.0
Antonio Sivera,J2,Alavés,Spanish La Liga,ESP,GK,Goalkeeper,29,90,5.0,1.0,4.0,1.4,0.4,0,8.0,19,19.0,3.0,828.4,8.0,487.2,12,1.0,2.0,31.6
Leo Román,J2,Mallorca,Spanish La Liga,ESP,GK,Goalkeeper,25,90,2.0,1.0,1.0,0.4,-0.6,0,3.0,8,27.0,1.0,839.7,2.0,45.0,9,0.0,0.0,0.0
Ionuț Radu,J2,Celta Vigo,Spanish La Liga,ROU,GK,Goalkeeper,28,90,4.0,1.0,3.0,1.0,0.0,0,3.0,10,27.0,7.0,861.3,9.0,386.1,17,0.0,0.0,0.0
Jan Oblak,J2,Atlético Madrid,Spanish La Liga,SVN,GK,Goalkeeper,32,90,2.0,1.0,1.0,0.4,-0.6,0,5.0,13,25.0,3.0,857.5,4.0,194.0,3,0.0,1.0,15.5
Matías Dituro,J2,Elche,Spanish La Liga,ARG,GK,Goalkeeper,38,90,6.0,1.0,5.0,0.9,-0.1,0,10.0,31,56.0,6.0,2088.8,8.0,472.0,27,3.0,4.0,51.2
Pablo Cuñat,J2,Levante,Spanish La Liga,ESP,GK,Goalkeeper,23,90,10.0,3.0,8.0,2.5,-0.5,0,6.0,19,22.0,10.0,915.2,10.0,614.0,20,0.0,0.0,0.0
Joan García,J2,Barcelona,Spanish La Liga,ESP,GK,Goalkeeper,24,90,5.0,2.0,3.0,2.5,0.5,0,1.0,2,20.0,7.0,482.0,2.0,68.0,3,0.0,5.0,136.5
Sergio Herrera,J2,Osasuna,Spanish La Liga,ESP,GK,Goalkeeper,32,90,1.0,0.0,1.0,0.0,0.0,1,1.0,7,17.0,5.0,618.8,4.0,180.0,10,2.0,2.0,29.0
Julen Agirrezabala,J2,Valencia,Spanish La Liga,ESP,GK,Goalkeeper,24,90,4.0,1.0,3.0,0.7,-0.3,0,3.0,16,40.0,6.0,1168.0,10.0,533.0,17,1.0,4.0,86.4
Álex Remiro,J2,Real Sociedad,Spanish La Liga,ESP,GK,Goalkeeper,30,90,3.0,2.0,1.0,1.7,-0.3,0,4.0,7,16.0,1.0,505.6,8.0,232.0,7,0.0,2.0,41.0
Marko Dmitrović,J2,Espanyol,Spanish La Liga,SRB,GK,Goalkeeper,33,90,7.0,2.0,5.0,2.0,0.0,0,6.0,28,29.0,3.0,1487.7,7.0,413.7,18,1.0,0.0,0.0
Luiz Lúcio Reis Júnior,J2,Villarreal,Spanish La Liga,BRA,GK,Goalkeeper,24,90,2.0,0.0,2.0,0.0,0.0,1,1.0,3,18.0,5.0,500.4,3.0,63.0,8,1.0,0.0,0.0
Krapyvtsov Vladyslav,J2,Girona,Spanish La Liga,UKR,GK,Goalkeeper,20,90,7.0,5.0,2.0,1.9,-3.1,0,2.0,2,16.0,4.0,344.0,4.0,148.0,11,0.0,0.0,0.0
Aarón Escandell,J2,Oviedo,Spanish La Liga,ESP,GK,Goalkeeper,29,90,10.0,3.0,7.0,2.9,-0.1,0,5.0,19,41.0,5.0,1435.0,7.0,268.1,13,0.0,3.0,52.5
Thibaut Courtois,J2,Real Madrid,Spanish La Liga,BEL,GK,Goalkeeper,33,90,3.0,0.0,3.0,0.3,0.3,1,2.0,3,17.0,4.0,411.4,3.0,141.0,6,0.0,3.0,56.4
Unai Simón,J2,Athletic Club,Spanish La Liga,ESP,GK,Goalkeeper,28,90,1.0,0.0,1.0,0.2,0.2,1,3.0,16,27.0,4.0,996.3,5.0,281.0,14,1.0,0.0,0.0
Augusto Batalla,J2,Rayo Vallecano,Spanish La Liga,ARG,GK,Goalkeeper,29,90,4.0,1.0,3.0,1.3,0.3,0,7.0,20,42.0,4.0,1612.8,4.0,196.0,12,2.0,5.0,90.5
Ørjan Nyland,J2,Sevilla,Spanish La Liga,NOR,GK,Goalkeeper,34,90,6.0,2.0,4.0,0.9,-1.1,0,2.0,7,31.0,3.0,1007.5,1.0,67.0,2,0.0,2.0,29.8
David Soria,J2,Getafe,Spanish La Liga,ESP,GK,Goalkeeper,32,90,3.0,1.0,3.0,0.2,-0.8,0,5.0,30,20.0,1.0,1076.0,11.0,664.4,23,1.0,0.0,0.0
Ionuț Radu,J6,Celta Vigo,Spanish La Liga,ROU,GK,Goalkeeper,28,90,1.0,1.0,0.0,0.4,-0.6,0,3.0,8,22.0,6.0,688.6,5.0,109.0,10,1.0,1.0,12.2
Álvaro Vallés,J6,Betis,Spanish La Liga,ESP,GK,Goalkeeper,28,90,5.0,1.0,4.0,0.5,-0.5,0,2.0,10,34.0,4.0,1105.0,6.0,220.2,15,0.0,2.0,22.8
Matías Dituro,J3,Elche,Spanish La Liga,ARG,GK,Goalkeeper,38,90,1.0,0.0,1.0,0.2,0.2,1,9.0,16,42.0,4.0,1344.0,6.0,241.2,10,0.0,1.0,16.2
Mathew Ryan,J3,Levante,Spanish La Liga,AUS,GK,Goalkeeper,33,90,5.0,2.0,3.0,1.6,-0.4,0,3.0,8,18.0,7.0,698.4,10.0,285.0,17,1.0,0.0,0.0
Julen Agirrezabala,J3,Valencia,Spanish La Liga,ESP,GK,Goalkeeper,24,90,1.0,0.0,1.0,0.3,0.3,1,3.0,11,18.0,0.0,666.0,8.0,324.0,14,0.0,4.0,71.6
David Soria,J3,Getafe,Spanish La Liga,ESP,GK,Goalkeeper,32,90,4.0,3.0,1.0,1.4,-1.6,0,9.0,20,19.0,1.0,1054.5,3.0,168.9,12,0.0,1.0,19.5
Antonio Sivera,J3,Alavés,Spanish La Liga,ESP,GK,Goalkeeper,29,90,6.0,1.0,5.0,1.5,0.5,0,13.0,29,21.0,1.0,1119.3,14.0,918.4,22,1.0,0.0,0.0
Jan Oblak,J3,Atlético Madrid,Spanish La Liga,SVN,GK,Goalkeeper,32,90,2.0,1.0,1.0,0.9,-0.1,0,9.0,13,25.0,7.0,792.5,9.0,376.2,6,1.0,0.0,0.0
Aarón Escandell,J3,Oviedo,Spanish La Liga,ESP,GK,Goalkeeper,29,90,6.0,0.0,6.0,1.8,1.8,1,5.0,16,36.0,4.0,1184.4,5.0,205.0,22,1.0,3.0,51.9
Álex Remiro,J3,Real Sociedad,Spanish La Liga,ESP,GK,Goalkeeper,30,90,1.0,1.0,0.0,0.7,-0.3,0,2.0,8,33.0,1.0,838.2,6.0,237.0,8,0.0,2.0,44.0
Paulo Gazzaniga,J3,Girona,Spanish La Liga,ARG,GK,Goalkeeper,33,90,4.0,2.0,2.0,1.0,-1.0,0,3.0,11,31.0,5.0,964.1,3.0,129.9,3,0.0,1.0,21.0
Ørjan Nyland,J3,Sevilla,Spanish La Liga,NOR,GK,Goalkeeper,34,90,5.0,0.0,5.0,1.9,1.9,1,5.0,19,28.0,3.0,1125.6,7.0,455.7,23,0.0,0.0,0.0
Thibaut Courtois,J3,Real Madrid,Spanish La Liga,BEL,GK,Goalkeeper,33,90,3.0,1.0,2.0,0.7,-0.3,0,2.0,4,20.0,4.0,544.0,6.0,249.0,13,0.0,2.0,39.2
Leo Román,J3,Mallorca,Spanish La Liga,ESP,GK,Goalkeeper,25,90,7.0,2.0,5.0,1.8,-0.2,0,8.0,27,32.0,2.0,1497.6,9.0,492.3,9,0.0,0.0,0.0
Łukasz Skorupski,J2,Bologna,Italian Serie A,POL,GK,Goalkeeper,34,90,2.0,0.0,2.0,0.0,0.0,1,4.0,13,36.0,6.0,1126.8,5.0,274.0,8,0.0,0.0,0.0
Jean Butez,J2,Como,Italian Serie A,FRA,GK,Goalkeeper,30,90,2.0,1.0,1.0,0.8,-0.2,0,6.0,13,53.0,8.0,1489.3,1.0,28.0,15,1.0,2.0,33.4
Ionuț Radu,J3,Celta Vigo,Spanish La Liga,ROU,GK,Goalkeeper,28,90,3.0,1.0,2.0,0.9,-0.1,0,4.0,7,23.0,6.0,731.4,8.0,118.4,8,2.0,2.0,33.2
Luiz Lúcio Reis Júnior,J3,Villarreal,Spanish La Liga,BRA,GK,Goalkeeper,24,90,2.0,1.0,1.0,0.7,-0.3,0,2.0,11,24.0,2.0,880.8,4.0,178.0,8,0.0,0.0,0.0
Álvaro Vallés,J3,Betis,Spanish La Liga,ESP,GK,Goalkeeper,28,90,6.0,2.0,5.0,0.8,-1.2,0,3.0,8,30.0,5.0,849.0,5.0,194.0,14,0.0,1.0,13.0
Unai Simón,J3,Athletic Club,Spanish La Liga,ESP,GK,Goalkeeper,28,90,2.0,1.0,1.0,1.0,0.0,0,3.0,12,23.0,3.0,807.3,6.0,268.8,10,1.0,0.0,0.0
Marko Dmitrović,J3,Espanyol,Spanish La Liga,SRB,GK,Goalkeeper,33,90,3.0,0.0,3.0,0.6,0.6,1,1.0,14,23.0,2.0,791.2,7.0,347.2,15,0.0,2.0,44.6
Sergio Herrera,J3,Osasuna,Spanish La Liga,ESP,GK,Goalkeeper,32,90,4.0,1.0,3.0,1.3,0.3,0,8.0,17,33.0,5.0,1178.1,8.0,315.2,12,1.0,6.0,153.6
Augusto Batalla,J3,Rayo Vallecano,Spanish La Liga,ARG,GK,Goalkeeper,29,90,3.0,1.0,2.0,0.9,-0.1,0,9.0,30,30.0,2.0,1680.0,10.0,661.0,6,0.0,4.0,72.4
Joan García,J3,Barcelona,Spanish La Liga,ESP,GK,Goalkeeper,24,90,6.0,1.0,5.0,1.8,0.8,0,1.0,4,41.0,16.0,1148.0,2.0,42.0,15,0.0,10.0,253.0
Ørjan Nyland,J4,Sevilla,Spanish La Liga,NOR,GK,Goalkeeper,35,90,2.0,2.0,0.0,0.9,-1.1,0,4.0,9,19.0,2.0,733.4,4.0,118.0,8,0.0,0.0,0.0
Matías Dituro,J4,Elche,Spanish La Liga,ARG,GK,Goalkeeper,38,90,3.0,2.0,1.0,1.1,-0.9,0,9.0,21,54.0,0.0,1733.4,3.0,144.0,10,2.0,0.0,0.0
David Soria,J4,Getafe,Spanish La Liga,ESP,GK,Goalkeeper,32,90,1.0,0.0,1.0,0.0,0.0,1,8.0,18,23.0,1.0,1062.6,3.0,50.1,10,1.0,0.0,0.0
Aarón Escandell,J4,Oviedo,Spanish La Liga,ESP,GK,Goalkeeper,29,90,3.0,2.0,1.0,1.5,-0.5,0,2.0,10,23.0,3.0,805.0,4.0,146.0,15,1.0,0.0,0.0
Álex Remiro,J4,Real Sociedad,Spanish La Liga,ESP,GK,Goalkeeper,30,90,6.0,2.0,4.0,2.4,0.4,0,4.0,7,22.0,3.0,609.4,7.0,224.7,8,1.0,3.0,52.2
Thibaut Courtois,J4,Real Madrid,Spanish La Liga,BEL,GK,Goalkeeper,33,90,4.0,1.0,3.0,1.0,0.0,0,9.0,31,29.0,2.0,1429.7,14.0,847.0,29,2.0,0.0,0.0
Unai Simón,J4,Athletic Club,Spanish La Liga,ESP,GK,Goalkeeper,28,90,2.0,1.0,2.0,0.2,-0.8,0,1.0,3,21.0,5.0,525.0,1.0,11.0,8,1.0,2.0,40.6
Antonio Sivera,J4,Alavés,Spanish La Liga,ESP,GK,Goalkeeper,29,90,3.0,0.0,3.0,0.8,0.8,1,11.0,26,22.0,4.0,1038.4,12.0,747.6,26,1.0,0.0,0.0
Jan Oblak,J4,Atlético Madrid,Spanish La Liga,SVN,GK,Goalkeeper,32,90,1.0,0.0,1.0,0.1,0.1,1,6.0,12,30.0,3.0,942.0,9.0,351.0,14,0.0,0.0,0.0
Luiz Lúcio Reis Júnior,J4,Villarreal,Spanish La Liga,BRA,GK,Goalkeeper,24,90,3.0,2.0,1.0,1.4,-0.6,0,0.0,6,19.0,5.0,566.2,2.0,39.0,10,0.0,0.0,0.0
Ionuț Radu,J4,Celta Vigo,Spanish La Liga,ROU,GK,Goalkeeper,28,90,8.0,1.0,7.0,1.1,0.1,0,2.0,4,21.0,10.0,560.7,4.0,49.2,4,0.0,2.0,41.4
Paulo Gazzaniga,J4,Girona,Spanish La Liga,ARG,GK,Goalkeeper,33,90,7.0,1.0,6.0,2.6,1.6,0,2.0,20,36.0,7.0,1321.2,8.0,500.0,20,0.0,3.0,58.5
Mathew Ryan,J4,Levante,Spanish La Liga,AUS,GK,Goalkeeper,33,90,9.0,2.0,7.0,1.6,-0.4,0,6.0,14,17.0,4.0,601.8,12.0,603.6,25,2.0,5.0,77.0
Álvaro Vallés,J4,Betis,Spanish La Liga,ESP,GK,Goalkeeper,28,90,2.0,2.0,0.0,1.3,-0.7,0,1.0,4,25.0,4.0,657.5,8.0,168.0,7,0.0,2.0,33.0
Sergio Herrera,J4,Osasuna,Spanish La Liga,ESP,GK,Goalkeeper,32,90,6.0,0.0,6.0,1.3,1.3,1,9.0,18,16.0,6.0,577.6,15.0,744.0,27,0.0,2.0,42.6
Augusto Batalla,J4,Rayo Vallecano,Spanish La Liga,ARG,GK,Goalkeeper,29,90,6.0,2.0,4.0,2.1,0.1,0,3.0,9,36.0,6.0,1177.2,4.0,129.2,9,1.0,7.0,151.2
Joan García,J4,Barcelona,Spanish La Liga,ESP,GK,Goalkeeper,24,90,1.0,0.0,1.0,0.3,0.3,1,1.0,1,35.0,10.0,815.5,1.0,16.0,12,0.0,0.0,0.0
Julen Agirrezabala,J4,Valencia,Spanish La Liga,ESP,GK,Goalkeeper,24,90,10.0,6.0,4.0,2.5,-3.5,0,10.0,27,28.0,7.0,1201.2,12.0,699.6,7,1.0,0.0,0.0
Marko Dmitrović,J4,Espanyol,Spanish La Liga,SRB,GK,Goalkeeper,33,90,10.0,2.0,8.0,2.0,0.0,0,7.0,23,31.0,4.0,1404.3,7.0,434.7,27,1.0,0.0,0.0
Leo Román,J4,Mallorca,Spanish La Liga,ESP,GK,Goalkeeper,25,90,3.0,3.0,0.0,2.2,-0.8,0,2.0,6,24.0,3.0,624.0,4.0,160.0,9,2.0,1.0,10.4
Pau López,J5,Betis,Spanish La Liga,ESP,GK,Goalkeeper,30,90,5.0,1.0,4.0,1.4,0.4,0,4.0,13,29.0,3.0,922.2,4.0,263.2,10,0.0,1.0,21.0
Álex Remiro,J5,Real Sociedad,Spanish La Liga,ESP,GK,Goalkeeper,30,90,6.0,3.0,4.0,3.1,0.1,0,3.0,9,30.0,6.0,756.0,7.0,326.9,6,0.0,4.0,104.0
Paulo Gazzaniga,J5,Girona,Spanish La Liga,ARG,GK,Goalkeeper,33,90,6.0,4.0,2.0,3.6,-0.4,0,2.0,11,23.0,4.0,816.5,3.0,150.9,13,0.0,0.0,0.0
Mathew Ryan,J5,Levante,Spanish La Liga,AUS,GK,Goalkeeper,33,90,1.0,0.0,1.0,0.8,0.8,1,1.0,2,19.0,2.0,492.1,5.0,120.0,10,0.0,2.0,29.0
Thibaut Courtois,J5,Real Madrid,Spanish La Liga,BEL,GK,Goalkeeper,33,90,1.0,0.0,1.0,0.3,0.3,1,3.0,7,32.0,5.0,985.6,2.0,93.0,13,2.0,0.0,0.0
Marko Dmitrović,J5,Espanyol,Spanish La Liga,SRB,GK,Goalkeeper,33,90,5.0,2.0,3.0,1.1,-0.9,0,4.0,11,20.0,3.0,664.0,6.0,322.2,4,0.0,0.0,0.0
Luiz Lúcio Reis Júnior,J5,Villarreal,Spanish La Liga,BRA,GK,Goalkeeper,24,90,3.0,1.0,2.0,1.8,0.8,0,0.0,1,16.0,3.0,324.8,6.0,139.8,3,0.0,6.0,127.8
Sergio Herrera,J5,Osasuna,Spanish La Liga,ESP,GK,Goalkeeper,32,90,8.0,2.0,6.0,2.9,0.9,0,12.0,25,19.0,2.0,765.7,20.0,936.0,27,1.0,2.0,32.6
Antonio Sivera,J5,Alavés,Spanish La Liga,ESP,GK,Goalkeeper,29,90,3.0,2.0,1.0,1.6,-0.4,0,7.0,18,20.0,1.0,958.0,6.0,373.2,8,1.0,0.0,0.0
Odysseas Vlachodimos,J5,Sevilla,Spanish La Liga,GRE,GK,Goalkeeper,31,90,5.0,1.0,4.0,1.1,0.1,0,8.0,13,33.0,7.0,1056.0,4.0,185.2,14,0.0,0.0,0.0
Julen Agirrezabala,J5,Valencia,Spanish La Liga,ESP,GK,Goalkeeper,24,90,5.0,0.0,5.0,0.7,0.7,1,1.0,8,24.0,7.0,696.0,5.0,262.0,20,0.0,5.0,123.5
Unai Simón,J5,Athletic Club,Spanish La Liga,ESP,GK,Goalkeeper,28,90,5.0,2.0,3.0,3.1,1.1,0,5.0,21,39.0,6.0,1306.5,6.0,441.0,10,0.0,5.0,128.5
Alex Meret,J2,Napoli,Italian Serie A,ITA,GK,Goalkeeper,28,90,1.0,0.0,1.0,0.0,0.0,1,0.0,0,16.0,3.0,300.8,9.0,204.3,3,0.0,1.0,21.0
Elia Caprile,J2,Cagliari,Italian Serie A,ITA,GK,Goalkeeper,24,90,6.0,1.0,5.0,1.0,0.0,0,7.0,19,35.0,5.0,1379.0,5.0,206.0,38,4.0,0.0,0.0
Adrian Šemper,J2,Pisa,Italian Serie A,CRO,GK,Goalkeeper,27,90,5.0,1.0,4.0,0.9,-0.1,0,9.0,23,34.0,1.0,1526.6,0.0,0.0,20,0.0,0.0,0.0
Mile Svilar,J2,Roma,Italian Serie A,SRB,GK,Goalkeeper,26,90,3.0,0.0,3.0,0.4,0.4,1,2.0,14,35.0,5.0,1197.0,6.0,391.2,11,0.0,1.0,12.4
Nicola Leali,J2,Genoa,Italian Serie A,ITA,GK,Goalkeeper,32,90,3.0,1.0,2.0,1.3,0.3,0,4.0,11,18.0,1.0,658.8,4.0,256.0,11,0.0,1.0,19.0
Michele Di Gregorio,J2,Juventus,Italian Serie A,ITA,GK,Goalkeeper,28,90,1.0,0.0,1.0,0.1,0.1,1,7.0,16,44.0,3.0,1350.8,3.0,203.1,13,1.0,1.0,9.8
Matej Kovar,J1,PSV Eindhoven,UEFA Champions League,CZE,GK,Goalkeeper,25,90,7.0,3.0,4.0,3.1,0.1,0,4.0,9,45.0,4.0,1327.5,4.0,96.0,10,1.0,1.0,13.3
Kjell Scherpen,J1,Union SG,UEFA Champions League,NED,GK,Goalkeeper,25,90,3.0,1.0,2.0,1.3,0.3,0,4.0,14,17.0,3.0,826.2,6.0,319.2,19,2.0,2.0,23.6
Unai Simón,J1,Athletic Club,UEFA Champions League,ESP,GK,Goalkeeper,28,90,6.0,2.0,4.0,1.0,-1.0,0,9.0,26,34.0,4.0,1638.8,4.0,234.0,14,0.0,3.0,84.0
David Raya,J1,Arsenal,UEFA Champions League,ESP,GK,Goalkeeper,30,90,2.0,0.0,2.0,0.3,0.3,1,6.0,16,48.0,7.0,1507.2,4.0,196.0,8,2.0,4.0,74.4
Guglielmo Vicario,J1,Tottenham,UEFA Champions League,ITA,GK,Goalkeeper,28,90,0.0,0.0,0.0,0.0,0.0,1,8.0,14,44.0,3.0,1368.4,6.0,151.8,7,1.0,3.0,51.9
Luiz Lúcio Reis Júnior,J1,Villarreal,UEFA Champions League,BRA,GK,Goalkeeper,24,90,1.0,1.0,1.0,0.1,-0.9,0,4.0,11,19.0,4.0,693.5,6.0,196.8,11,1.0,4.0,61.2
Anatolii Trubin,J1,Benfica,UEFA Champions League,UKR,GK,Goalkeeper,24,90,5.0,3.0,2.0,2.7,-0.3,0,3.0,5,21.0,4.0,516.6,5.0,147.0,6,0.0,1.0,16.3
Mateusz Kochalski,J1,Qarabağ,UEFA Champions League,POL,GK,Goalkeeper,25,90,3.0,2.0,1.0,1.4,-0.6,0,7.0,20,28.0,3.0,1024.8,11.0,708.4,13,1.0,3.0,67.5
Michele Di Gregorio,J1,Juventus,UEFA Champions League,ITA,GK,Goalkeeper,28,90,5.0,4.0,1.0,2.3,-1.7,0,3.0,5,25.0,0.0,697.5,0.0,0.0,5,0.0,0.0,0.0
Gregor Kobel,J1,Dortmund,UEFA Champions League,SUI,GK,Goalkeeper,27,90,7.0,4.0,3.0,2.8,-1.2,0,4.0,18,39.0,4.0,1552.2,5.0,166.0,16,1.0,2.0,40.6
Thibaut Courtois,J1,Real Madrid,UEFA Champions League,BEL,GK,Goalkeeper,33,90,5.0,1.0,4.0,0.5,-0.5,0,3.0,11,26.0,4.0,891.8,5.0,280.0,9,0.0,4.0,104.0
Gerónimo Rulli,J1,Marseille,UEFA Champions League,ARG,GK,Goalkeeper,33,90,15.0,2.0,13.0,3.5,1.5,0,4.0,10,40.0,11.0,1180.0,2.0,40.0,10,1.0,0.0,0.0
Jindřich Staněk,J1,Slavia Prague,UEFA Champions League,CZE,GK,Goalkeeper,29,90,9.0,2.0,6.0,2.6,0.6,0,6.0,13,21.0,4.0,879.9,3.0,150.9,12,0.0,0.0,0.0
Nikita Haikin,J1,Bodø/Glimt,UEFA Champions League,RUS,GK,Goalkeeper,30,90,10.0,2.0,8.0,4.2,2.2,0,5.0,18,30.0,4.0,1188.0,4.0,259.2,25,1.0,0.0,0.0
Alexandros Paschalakis,J1,Olympiacos,UEFA Champions League,GRE,GK,Goalkeeper,36,90,1.0,0.0,1.0,0.1,0.1,1,2.0,3,14.0,1.0,379.4,8.0,246.4,1,0.0,4.0,84.8
Neofytos Michael,J1,Pafos FC,UEFA Champions League,CYP,GK,Goalkeeper,31,90,3.0,0.0,3.0,0.3,0.3,1,4.0,24,24.0,3.0,1173.6,12.0,684.0,38,0.0,0.0,0.0
Alisson,J1,Liverpool,UEFA Champions League,BRA,GK,Goalkeeper,32,90,4.0,2.0,2.0,1.4,-0.6,0,1.0,6,33.0,5.0,983.4,3.0,81.9,17,2.0,4.0,94.4
Jan Oblak,J1,Atlético Madrid,UEFA Champions League,SVN,GK,Goalkeeper,32,90,6.0,3.0,3.0,1.9,-1.1,0,4.0,14,23.0,6.0,871.7,11.0,507.1,17,0.0,0.0,0.0
Vitezslav Jaros,J1,Ajax,UEFA Champions League,CZE,GK,Goalkeeper,24,90,4.0,2.0,2.0,1.7,-0.3,0,5.0,13,52.0,6.0,1487.2,4.0,103.2,7,1.0,0.0,0.0
Yann Sommer,J1,Inter,UEFA Champions League,SUI,GK,Goalkeeper,36,90,2.0,0.0,2.0,0.7,0.7,1,6.0,17,37.0,6.0,1184.0,4.0,262.0,16,2.0,0.0,0.0
Manuel Neuer,J1,Bayern Munich,UEFA Champions League,GER,GK,Goalkeeper,39,90,3.0,1.0,2.0,1.0,0.0,0,7.0,18,48.0,3.0,1536.0,5.0,153.0,9,1.0,3.0,51.0
Robert Sánchez,J1,Chelsea,UEFA Champions League,ESP,GK,Goalkeeper,27,90,5.0,3.0,3.0,2.5,-0.5,0,6.0,13,37.0,3.0,1306.1,4.0,175.2,9,2.0,0.0,0.0
Lucas Chevalier,J1,Paris S-G,UEFA Champions League,FRA,GK,Goalkeeper,23,90,2.0,0.0,2.0,0.3,0.3,1,1.0,4,29.0,0.0,780.1,2.0,28.0,5,0.0,0.0,0.0
