Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Legia Warsaw,UEFA Europa Conference League,J2,31%,70% — 209 of 298,27% — 3 of 11,66% — 2 of 3
AEK Athens,UEFA Europa Conference League,J2,73%,637 of 723 — 88%,9 of 27 — 33%,2 of 2 — 100%
Aberdeen,UEFA Europa Conference League,J2,27%,75% — 205 of 274,25% — 2 of 8,33% — 3 of 9
Shamrock Rovers,UEFA Europa Conference League,J2,43%,351 of 428 — 82%,3 of 11 — 27%,2 of 4 — 50%
NK Celje,UEFA Europa Conference League,J2,57%,87% — 487 of 562,29% — 4 of 14,100% — 3 of 3
Crystal Palace,UEFA Europa Conference League,J2,67%,541 of 650 — 83%,1 of 15 — 7%,1 of 2 — 50%
AÉK Lárnaka,UEFA Europa Conference League,J2,33%,67% — 211 of 315,50% — 2 of 4,100% — 1 of 1
Sigma Olomouc,UEFA Europa Conference League,J2,47%,306 of 419 — 73%,1 of 8 — 13%,5 of 6 — 83%
Raków,UEFA Europa Conference League,J2,53%,79% — 377 of 476,43% — 6 of 14,0% — 0 of 1
Red Imps,UEFA Europa Conference League,J2,38%,201 of 294 — 68%,3 of 12 — 25%,4 of 4 — 100%
Lech Poznań,UEFA Europa Conference League,J2,62%,78% — 372 of 479,22% — 4 of 18,33% — 1 of 3
Ħamrun Spartans FC,UEFA Europa Conference League,J2,53%,310 of 419 — 74%,1 of 15 — 7%,4 of 5 — 80%
Lausanne-Sport,UEFA Europa Conference League,J2,47%,77% — 290 of 377,50% — 5 of 10,100% — 1 of 1
Mainz 05,UEFA Europa Conference League,J2,60%,414 of 540 — 77%,2 of 15 — 13%,0 of 0 — %
Zrinjski Mostar,UEFA Europa Conference League,J2,40%,69% — 246 of 355,0% — 0 of 2,50% — 1 of 2
CS U Craiova,UEFA Europa Conference League,J2,48%,329 of 435 — 76%,2 of 6 — 33%,3 of 4 — 75%
FC Noah,UEFA Europa Conference League,J2,52%,79% — 369 of 469,25% — 4 of 16,50% — 1 of 2
Samsunspor,UEFA Europa Conference League,J2,49%,368 of 467 — 79%,5 of 14 — 36%,0 of 0 — %
Dynamo Kyiv,UEFA Europa Conference League,J2,51%,82% — 405 of 493,0% — 0 of 5,40% — 2 of 5
Juventus,Italian Serie A,J3,41%,317 of 388 — 82%,4 of 12 — 33%,1 of 4 — 25%
Inter,Italian Serie A,J3,59%,86% — 479 of 557,22% — 4 of 18,0% — 0 of 4
Fiorentina,Italian Serie A,J3,53%,393 of 496 — 79%,3 of 19 — 16%,5 of 7 — 71%
Napoli,Italian Serie A,J3,47%,81% — 360 of 446,54% — 7 of 13,66% — 2 of 3
Roma,Italian Serie A,J3,72%,561 of 647 — 87%,5 of 22 — 23%,3 of 4 — 75%
Torino,Italian Serie A,J3,28%,69% — 175 of 253,50% — 4 of 8,100% — 5 of 5
Atalanta,Italian Serie A,J3,56%,407 of 498 — 82%,8 of 19 — 42%,2 of 3 — 66%
Lecce,Italian Serie A,J3,44%,78% — 300 of 386,25% — 3 of 12,50% — 4 of 8
Pisa,Italian Serie A,J3,51%,340 of 433 — 79%,2 of 12 — 17%,2 of 3 — 66%
Udinese,Italian Serie A,J3,49%,77% — 321 of 416,23% — 3 of 13,100% — 2 of 2
Sassuolo,Italian Serie A,J3,42%,377 of 450 — 84%,3 of 10 — 30%,3 of 3 — 100%
Lazio,Italian Serie A,J3,58%,85% — 537 of 634,23% — 3 of 13,66% — 2 of 3
Milan,Italian Serie A,J3,40%,301 of 369 — 82%,3 of 14 — 21%,0 of 0 — %
Bologna,Italian Serie A,J3,60%,85% — 474 of 559,0% — 0 of 5,66% — 2 of 3
Hellas Verona,Italian Serie A,J3,46%,354 of 460 — 77%,9 of 20 — 45%,2 of 2 — 100%
Cremonese,Italian Serie A,J3,54%,81% — 430 of 530,33% — 2 of 6,100% — 9 of 9
Milan,Italian Serie A,J1,64%,592 of 665 — 89%,5 of 24 — 21%,1 of 3 — 33%
Cremonese,Italian Serie A,J1,36%,79% — 298 of 376,75% — 3 of 4,80% — 4 of 5
Como,Italian Serie A,J3,53%,412 of 494 — 83%,4 of 13 — 31%,3 of 4 — 75%
Genoa,Italian Serie A,J3,47%,78% — 343 of 438,33% — 4 of 12,75% — 3 of 4
Lecce,Italian Serie A,J4,52%,346 of 422 — 82%,5 of 11 — 45%,4 of 5 — 80%
Cagliari,Italian Serie A,J4,48%,79% — 310 of 391,36% — 5 of 14,80% — 4 of 5
Bologna,Italian Serie A,J4,58%,353 of 460 — 77%,5 of 13 — 38%,3 of 4 — 75%
Genoa,Italian Serie A,J4,42%,67% — 220 of 329,57% — 4 of 7,80% — 4 of 5
Hellas Verona,Italian Serie A,J4,29%,165 of 252 — 65%,3 of 13 — 23%,3 of 4 — 75%
Juventus,Italian Serie A,J4,71%,84% — 524 of 621,40% — 4 of 10,100% — 3 of 3
Udinese,Italian Serie A,J4,40%,373 of 430 — 87%,4 of 10 — 40%,3 of 6 — 50%
Milan,Italian Serie A,J4,60%,88% — 570 of 649,46% — 6 of 13,100% — 4 of 4
Lazio,Italian Serie A,J4,48%,335 of 424 — 79%,2 of 10 — 20%,5 of 6 — 83%
Roma,Italian Serie A,J4,52%,80% — 361 of 452,46% — 6 of 13,100% — 2 of 2
Cremonese,Italian Serie A,J4,52%,370 of 461 — 80%,1 of 3 — 33%,3 of 3 — 100%
Parma,Italian Serie A,J4,48%,78% — 327 of 421,20% — 3 of 15,100% — 1 of 1
Torino,Italian Serie A,J4,39%,344 of 419 — 82%,4 of 10 — 40%,2 of 5 — 40%
Atalanta,Italian Serie A,J4,61%,87% — 561 of 647,56% — 5 of 9,100% — 4 of 4
Fiorentina,Italian Serie A,J4,39%,256 of 345 — 74%,1 of 8 — 13%,5 of 7 — 71%
Como,Italian Serie A,J4,61%,83% — 450 of 544,37% — 7 of 19,0% — 0 of 1
Rennes,French Ligue 1,J1,28%,234 of 305 — 77%,5 of 12 — 42%,2 of 2 — 100%
Marseille,French Ligue 1,J1,72%,89% — 684 of 769,8% — 2 of 24,80% — 4 of 5
Lens,French Ligue 1,J1,56%,405 of 509 — 80%,4 of 18 — 22%,2 of 3 — 66%
Lyon,French Ligue 1,J1,44%,78% — 311 of 399,27% — 3 of 11,100% — 4 of 4
Monaco,French Ligue 1,J1,74%,665 of 777 — 86%,3 of 13 — 23%,3 of 4 — 75%
Le Havre,French Ligue 1,J1,26%,69% — 190 of 274,44% — 4 of 9,33% — 1 of 3
Nice,French Ligue 1,J1,57%,431 of 519 — 83%,2 of 13 — 15%,1 of 2 — 50%
Toulouse,French Ligue 1,J1,43%,82% — 319 of 388,20% — 2 of 10,100% — 2 of 2
Brest,French Ligue 1,J1,46%,298 of 411 — 73%,5 of 18 — 28%,3 of 6 — 50%
Lille,French Ligue 1,J1,54%,80% — 388 of 484,60% — 6 of 10,40% — 2 of 5
Angers,French Ligue 1,J1,32%,222 of 307 — 72%,2 of 8 — 25%,7 of 7 — 100%
Paris FC,French Ligue 1,J1,68%,87% — 554 of 639,41% — 7 of 17,50% — 1 of 2
Auxerre,French Ligue 1,J1,43%,305 of 386 — 79%,3 of 6 — 50%,3 of 3 — 100%
Lorient,French Ligue 1,J1,57%,83% — 387 of 466,23% — 3 of 13,66% — 2 of 3
Metz,French Ligue 1,J1,37%,289 of 379 — 76%,0 of 2 — 0%,2 of 3 — 66%
Strasbourg,French Ligue 1,J1,63%,86% — 542 of 628,33% — 3 of 9,% — 0 of 0
Nantes,French Ligue 1,J1,30%,244 of 331 — 74%,0 of 5 — 0%,3 of 4 — 75%
Paris S-G,French Ligue 1,J1,70%,89% — 703 of 787,22% — 4 of 18,% — 0 of 0
Inter,Italian Serie A,J4,61%,458 of 536 — 85%,6 of 20 — 30%,4 of 5 — 80%
Sassuolo,Italian Serie A,J4,39%,79% — 275 of 346,56% — 5 of 9,83% — 5 of 6
Paris S-G,French Ligue 1,J2,83%,948 of 1033 — 92%,4 of 20 — 20%,0 of 0 — %
Angers,French Ligue 1,J2,17%,73% — 153 of 210,0% — 0 of 3,75% — 3 of 4
Marseille,French Ligue 1,J2,60%,563 of 624 — 90%,6 of 9 — 67%,2 of 4 — 50%
Paris FC,French Ligue 1,J2,40%,87% — 360 of 414,50% — 4 of 8,33% — 2 of 6
Nice,French Ligue 1,J2,55%,437 of 515 — 85%,6 of 16 — 38%,7 of 8 — 87%
Auxerre,French Ligue 1,J2,45%,78% — 328 of 420,67% — 8 of 12,66% — 4 of 6
Lyon,French Ligue 1,J2,53%,527 of 576 — 91%,8 of 13 — 62%,2 of 2 — 100%
Metz,French Ligue 1,J2,47%,89% — 462 of 518,18% — 2 of 11,62% — 5 of 8
Lorient,French Ligue 1,J2,51%,444 of 525 — 85%,7 of 22 — 32%,1 of 1 — 100%
Rennes,French Ligue 1,J2,49%,85% — 429 of 503,25% — 1 of 4,42% — 3 of 7
Strasbourg,French Ligue 1,J2,49%,418 of 496 — 84%,4 of 15 — 27%,2 of 2 — 100%
Nantes,French Ligue 1,J2,51%,82% — 426 of 519,22% — 2 of 9,75% — 3 of 4
Le Havre,French Ligue 1,J2,58%,476 of 591 — 81%,6 of 18 — 33%,1 of 2 — 50%
Lens,French Ligue 1,J2,42%,84% — 360 of 430,40% — 2 of 5,83% — 5 of 6
Toulouse,French Ligue 1,J2,48%,336 of 422 — 80%,3 of 6 — 50%,2 of 2 — 100%
Brest,French Ligue 1,J2,52%,81% — 375 of 463,13% — 2 of 16,33% — 1 of 3
Lille,French Ligue 1,J2,50%,368 of 467 — 79%,1 of 17 — 6%,1 of 1 — 100%
Monaco,French Ligue 1,J2,50%,78% — 363 of 467,17% — 1 of 6,0% — 0 of 1
Lens,French Ligue 1,J3,67%,518 of 631 — 82%,9 of 29 — 31%,1 of 2 — 50%
Brest,French Ligue 1,J3,33%,72% — 225 of 313,22% — 2 of 9,77% — 7 of 9
Roma,Italian Serie A,J1,51%,358 of 444 — 81%,4 of 14 — 29%,2 of 2 — 100%
Bologna,Italian Serie A,J1,49%,76% — 329 of 434,20% — 2 of 10,75% — 3 of 4
Napoli,Italian Serie A,J4,64%,553 of 632 — 88%,6 of 18 — 33%,4 of 5 — 80%
Pisa,Italian Serie A,J4,36%,77% — 281 of 363,36% — 5 of 14,50% — 3 of 6
Lorient,French Ligue 1,J3,41%,318 of 393 — 81%,1 of 5 — 20%,4 of 11 — 36%
Lille,French Ligue 1,J3,59%,85% — 485 of 569,55% — 11 of 20,0% — 0 of 1
Nantes,French Ligue 1,J3,42%,278 of 370 — 75%,3 of 4 — 75%,4 of 4 — 100%
Auxerre,French Ligue 1,J3,58%,79% — 402 of 506,29% — 4 of 14,66% — 2 of 3
Toulouse,French Ligue 1,J3,25%,219 of 290 — 76%,5 of 13 — 38%,2 of 6 — 33%
Paris S-G,French Ligue 1,J3,75%,93% — 818 of 877,55% — 6 of 11,40% — 2 of 5
Angers,French Ligue 1,J3,37%,355 of 421 — 84%,7 of 10 — 70%,6 of 7 — 85%
Rennes,French Ligue 1,J3,63%,89% — 642 of 724,47% — 7 of 15,85% — 6 of 7
Paris FC,French Ligue 1,J3,51%,451 of 532 — 85%,8 of 23 — 35%,0 of 2 — 0%
Metz,French Ligue 1,J3,49%,85% — 432 of 509,14% — 2 of 14,75% — 6 of 8
Le Havre,French Ligue 1,J3,42%,288 of 381 — 76%,8 of 12 — 67%,2 of 3 — 66%
Nice,French Ligue 1,J3,58%,82% — 435 of 528,43% — 3 of 7,62% — 5 of 8
Monaco,French Ligue 1,J3,43%,346 of 422 — 82%,4 of 12 — 33%,2 of 3 — 66%
Strasbourg,French Ligue 1,J3,57%,86% — 480 of 560,27% — 3 of 11,25% — 1 of 4
Lyon,French Ligue 1,J3,57%,397 of 483 — 82%,4 of 17 — 24%,2 of 2 — 100%
Marseille,French Ligue 1,J3,43%,76% — 274 of 359,40% — 2 of 5,100% — 4 of 4
Marseille,French Ligue 1,J4,72%,766 of 834 — 92%,7 of 14 — 50%,1 of 1 — 100%
Lorient,French Ligue 1,J4,28%,84% — 272 of 323,25% — 1 of 4,57% — 4 of 7
Nice,French Ligue 1,J4,59%,454 of 545 — 83%,8 of 19 — 42%,3 of 3 — 100%
Nantes,French Ligue 1,J4,41%,78% — 296 of 380,21% — 3 of 14,87% — 7 of 8
Como,Italian Serie A,J5,57%,402 of 484 — 83%,6 of 14 — 43%,1 of 2 — 50%
Cremonese,Italian Serie A,J5,43%,75% — 274 of 366,22% — 2 of 9,83% — 5 of 6
Auxerre,French Ligue 1,J4,32%,211 of 304 — 69%,2 of 9 — 22%,1 of 3 — 33%
Monaco,French Ligue 1,J4,68%,83% — 527 of 637,23% — 3 of 13,100% — 2 of 2
Lille,French Ligue 1,J4,70%,507 of 600 — 85%,4 of 20 — 20%,3 of 4 — 75%
Toulouse,French Ligue 1,J4,30%,70% — 183 of 263,44% — 4 of 9,75% — 3 of 4
Strasbourg,French Ligue 1,J4,49%,421 of 490 — 86%,5 of 8 — 63%,1 of 1 — 100%
Le Havre,French Ligue 1,J4,51%,84% — 436 of 517,10% — 1 of 10,80% — 4 of 5
Metz,French Ligue 1,J4,55%,493 of 576 — 86%,4 of 8 — 50%,3 of 3 — 100%
Angers,French Ligue 1,J4,45%,86% — 409 of 475,33% — 3 of 9,75% — 3 of 4
Paris S-G,French Ligue 1,J4,69%,745 of 806 — 92%,6 of 14 — 43%,3 of 3 — 100%
Lens,French Ligue 1,J4,31%,82% — 302 of 370,27% — 3 of 11,66% — 4 of 6
Brest,French Ligue 1,J4,47%,353 of 461 — 77%,6 of 23 — 26%,2 of 4 — 50%
Paris FC,French Ligue 1,J4,53%,83% — 429 of 519,57% — 4 of 7,100% — 6 of 6
Rennes,French Ligue 1,J4,48%,407 of 490 — 83%,4 of 23 — 17%,4 of 5 — 80%
Lyon,French Ligue 1,J4,52%,85% — 445 of 524,63% — 5 of 8,50% — 2 of 4
Lyon,French Ligue 1,J5,67%,555 of 628 — 88%,5 of 16 — 31%,2 of 2 — 100%
Angers,French Ligue 1,J5,33%,77% — 241 of 313,20% — 2 of 10,80% — 4 of 5
Nantes,French Ligue 1,J5,42%,303 of 392 — 77%,3 of 15 — 20%,2 of 3 — 66%
Rennes,French Ligue 1,J5,58%,84% — 452 of 536,43% — 3 of 7,33% — 1 of 3
Brest,French Ligue 1,J5,38%,306 of 398 — 77%,5 of 11 — 45%,3 of 4 — 75%
Nice,French Ligue 1,J5,62%,88% — 571 of 652,20% — 4 of 20,20% — 1 of 5
Juventus,Italian Serie A,J5,67%,568 of 665 — 85%,10 of 24 — 42%,1 of 2 — 50%
Atalanta,Italian Serie A,J5,33%,77% — 252 of 327,17% — 2 of 12,90% — 9 of 10
Lens,French Ligue 1,J5,39%,280 of 368 — 76%,6 of 15 — 40%,3 of 3 — 100%
Lille,French Ligue 1,J5,61%,82% — 478 of 585,18% — 3 of 17,50% — 3 of 6
Paris FC,French Ligue 1,J5,61%,606 of 688 — 88%,6 of 18 — 33%,0 of 3 — 0%
Strasbourg,French Ligue 1,J5,39%,82% — 365 of 443,38% — 3 of 8,66% — 4 of 6
Le Havre,French Ligue 1,J5,60%,504 of 617 — 82%,1 of 12 — 8%,3 of 4 — 75%
Lorient,French Ligue 1,J5,40%,79% — 323 of 411,50% — 4 of 8,0% — 0 of 1
Auxerre,French Ligue 1,J5,41%,249 of 334 — 75%,1 of 6 — 17%,2 of 2 — 100%
Toulouse,French Ligue 1,J5,59%,85% — 412 of 485,17% — 2 of 12,0% — 0 of 1
Monaco,French Ligue 1,J5,44%,369 of 452 — 82%,6 of 16 — 38%,1 of 2 — 50%
Metz,French Ligue 1,J5,56%,83% — 485 of 587,29% — 2 of 7,33% — 2 of 6
Marseille,French Ligue 1,J5,32%,260 of 338 — 77%,2 of 9 — 22%,5 of 5 — 100%
Paris S-G,French Ligue 1,J5,68%,90% — 631 of 703,42% — 5 of 12,50% — 1 of 2
Strasbourg,French Ligue 1,J6,40%,337 of 420 — 80%,1 of 9 — 11%,7 of 9 — 77%
Marseille,French Ligue 1,J6,60%,86% — 545 of 634,56% — 9 of 16,0% — 0 of 1
Lorient,French Ligue 1,J6,47%,473 of 550 — 86%,8 of 19 — 42%,1 of 1 — 100%
Monaco,French Ligue 1,J6,53%,88% — 540 of 614,25% — 1 of 4,62% — 5 of 8
Toulouse,French Ligue 1,J6,45%,353 of 440 — 80%,6 of 19 — 32%,0 of 2 — 0%
Nantes,French Ligue 1,J6,55%,84% — 455 of 543,17% — 2 of 12,83% — 5 of 6
Paris S-G,French Ligue 1,J6,66%,631 of 699 — 90%,8 of 15 — 53%,2 of 2 — 100%
Auxerre,French Ligue 1,J6,34%,76% — 277 of 366,17% — 2 of 12,75% — 6 of 8
Cagliari,Italian Serie A,J5,42%,329 of 425 — 77%,0 of 6 — 0%,3 of 5 — 60%
Inter,Italian Serie A,J5,58%,82% — 476 of 577,25% — 5 of 20,% — 0 of 0
Nice,French Ligue 1,J6,44%,340 of 426 — 80%,5 of 11 — 45%,2 of 2 — 100%
Paris FC,French Ligue 1,J6,56%,84% — 463 of 551,17% — 2 of 12,80% — 4 of 5
Metz,French Ligue 1,J6,52%,401 of 463 — 87%,0 of 7 — 0%,2 of 2 — 100%
Le Havre,French Ligue 1,J6,48%,80% — 335 of 420,20% — 2 of 10,% — 0 of 0
Lille,French Ligue 1,J6,54%,376 of 464 — 81%,3 of 14 — 21%,1 of 2 — 50%
Lyon,French Ligue 1,J6,46%,80% — 318 of 397,40% — 2 of 5,100% — 3 of 3
Angers,French Ligue 1,J6,57%,419 of 522 — 80%,2 of 11 — 18%,1 of 2 — 50%
Brest,French Ligue 1,J6,43%,72% — 287 of 401,33% — 2 of 6,100% — 2 of 2
Rennes,French Ligue 1,J6,66%,491 of 575 — 85%,2 of 14 — 14%,2 of 2 — 100%
Lens,French Ligue 1,J6,34%,69% — 205 of 297,15% — 2 of 13,100% — 2 of 2
Paris FC,French Ligue 1,J7,58%,613 of 684 — 90%,2 of 10 — 20%,3 of 3 — 100%
Lorient,French Ligue 1,J7,42%,82% — 406 of 495,38% — 3 of 8,0% — 0 of 2
Metz,French Ligue 1,J7,38%,340 of 410 — 83%,1 of 4 — 25%,6 of 9 — 66%
Marseille,French Ligue 1,J7,62%,90% — 600 of 663,43% — 9 of 21,100% — 1 of 1
Brest,French Ligue 1,J7,51%,347 of 440 — 79%,5 of 17 — 29%,0 of 0 — %
Nantes,French Ligue 1,J7,49%,82% — 349 of 425,0% — 0 of 6,100% — 5 of 5
Auxerre,French Ligue 1,J7,57%,450 of 560 — 80%,2 of 18 — 11%,2 of 4 — 50%
Lens,French Ligue 1,J7,43%,81% — 341 of 420,57% — 4 of 7,50% — 1 of 2
Lyon,French Ligue 1,J7,69%,529 of 630 — 84%,3 of 13 — 23%,2 of 4 — 50%
Toulouse,French Ligue 1,J7,31%,69% — 198 of 285,29% — 4 of 14,66% — 2 of 3
Sassuolo,Italian Serie A,J5,45%,273 of 356 — 77%,5 of 11 — 45%,4 of 5 — 80%
Udinese,Italian Serie A,J5,55%,82% — 364 of 443,42% — 5 of 12,40% — 2 of 5
Strasbourg,French Ligue 1,J7,65%,721 of 805 — 90%,12 of 18 — 67%,1 of 1 — 100%
Angers,French Ligue 1,J7,35%,77% — 337 of 438,20% — 1 of 5,58% — 7 of 12
Monaco,French Ligue 1,J7,65%,479 of 582 — 82%,4 of 18 — 22%,0 of 1 — 0%
Nice,French Ligue 1,J7,35%,66% — 205 of 311,13% — 1 of 8,100% — 4 of 4
Le Havre,French Ligue 1,J7,43%,356 of 456 — 78%,1 of 9 — 11%,1 of 3 — 33%
Rennes,French Ligue 1,J7,57%,82% — 487 of 595,33% — 3 of 9,0% — 0 of 1
Lille,French Ligue 1,J7,38%,340 of 423 — 80%,3 of 9 — 33%,4 of 5 — 80%
Paris S-G,French Ligue 1,J7,62%,91% — 615 of 679,29% — 5 of 17,66% — 2 of 3
Paris S-G,French Ligue 1,J8,71%,742 of 818 — 91%,8 of 20 — 40%,4 of 7 — 57%
Strasbourg,French Ligue 1,J8,29%,81% — 269 of 333,58% — 7 of 12,75% — 6 of 8
Nice,French Ligue 1,J8,31%,206 of 279 — 74%,4 of 5 — 80%,4 of 6 — 66%
Lyon,French Ligue 1,J8,69%,82% — 507 of 615,21% — 6 of 28,25% — 1 of 4
Angers,French Ligue 1,J8,42%,347 of 436 — 80%,3 of 16 — 19%,3 of 4 — 75%
Monaco,French Ligue 1,J8,58%,85% — 522 of 611,36% — 4 of 11,66% — 2 of 3
Marseille,French Ligue 1,J8,73%,657 of 717 — 92%,10 of 17 — 59%,1 of 3 — 33%
Le Havre,French Ligue 1,J8,27%,74% — 192 of 260,38% — 3 of 8,50% — 5 of 10
Lens,French Ligue 1,J8,43%,356 of 459 — 78%,2 of 10 — 20%,2 of 3 — 66%
Paris FC,French Ligue 1,J8,57%,84% — 506 of 604,33% — 3 of 9,0% — 0 of 2
Rennes,French Ligue 1,J8,51%,373 of 467 — 80%,7 of 19 — 37%,2 of 3 — 66%
Auxerre,French Ligue 1,J8,49%,76% — 339 of 445,50% — 3 of 6,71% — 5 of 7
Roma,Italian Serie A,J5,57%,345 of 486 — 71%,5 of 10 — 50%,3 of 3 — 100%
Hellas Verona,Italian Serie A,J5,43%,66% — 240 of 365,25% — 3 of 12,60% — 3 of 5
Lorient,French Ligue 1,J8,50%,353 of 438 — 81%,7 of 12 — 58%,2 of 3 — 66%
Brest,French Ligue 1,J8,50%,82% — 363 of 443,43% — 3 of 7,57% — 4 of 7
Toulouse,French Ligue 1,J8,36%,301 of 364 — 83%,6 of 15 — 40%,2 of 2 — 100%
Metz,French Ligue 1,J8,64%,89% — 566 of 638,100% — 2 of 2,50% — 3 of 6
Nantes,French Ligue 1,J8,37%,247 of 341 — 72%,2 of 8 — 25%,3 of 5 — 60%
Lille,French Ligue 1,J8,63%,85% — 494 of 582,22% — 5 of 23,100% — 2 of 2
Paris FC,French Ligue 1,J9,67%,516 of 614 — 84%,3 of 14 — 21%,1 of 3 — 33%
Nantes,French Ligue 1,J9,33%,74% — 220 of 297,27% — 3 of 11,66% — 2 of 3
Brest,French Ligue 1,J9,25%,206 of 287 — 72%,2 of 7 — 29%,5 of 8 — 62%
Paris S-G,French Ligue 1,J9,75%,92% — 776 of 846,44% — 8 of 18,100% — 2 of 2
Monaco,French Ligue 1,J9,53%,347 of 451 — 77%,5 of 14 — 36%,2 of 2 — 100%
Toulouse,French Ligue 1,J9,47%,69% — 269 of 392,20% — 2 of 10,80% — 4 of 5
Lens,French Ligue 1,J9,32%,290 of 376 — 77%,4 of 7 — 57%,2 of 3 — 66%
Marseille,French Ligue 1,J9,68%,89% — 706 of 793,18% — 3 of 17,100% — 4 of 4
Lille,French Ligue 1,J9,62%,502 of 589 — 85%,12 of 23 — 52%,3 of 4 — 75%
Metz,French Ligue 1,J9,38%,75% — 275 of 365,40% — 4 of 10,50% — 6 of 12
Auxerre,French Ligue 1,J9,51%,316 of 408 — 77%,3 of 14 — 21%,3 of 4 — 75%
Le Havre,French Ligue 1,J9,49%,79% — 306 of 385,44% — 4 of 9,100% — 3 of 3
Angers,French Ligue 1,J9,38%,336 of 403 — 83%,4 of 7 — 57%,3 of 3 — 100%
Lorient,French Ligue 1,J9,62%,86% — 577 of 669,14% — 3 of 22,50% — 2 of 4
Pisa,Italian Serie A,J5,39%,180 of 269 — 67%,1 of 11 — 9%,2 of 2 — 100%
Fiorentina,Italian Serie A,J5,61%,79% — 333 of 422,14% — 2 of 14,100% — 1 of 1
Rennes,French Ligue 1,J9,58%,448 of 538 — 83%,7 of 18 — 39%,1 of 3 — 33%
Nice,French Ligue 1,J9,42%,77% — 297 of 388,38% — 3 of 8,85% — 6 of 7
Lyon,French Ligue 1,J9,48%,341 of 424 — 80%,2 of 7 — 29%,1 of 2 — 50%
Strasbourg,French Ligue 1,J9,52%,84% — 384 of 458,29% — 2 of 7,50% — 1 of 2
Lecce,Italian Serie A,J5,34%,183 of 284 — 64%,4 of 12 — 33%,3 of 4 — 75%
Bologna,Italian Serie A,J5,66%,83% — 462 of 558,31% — 4 of 13,50% — 2 of 4
Milan,Italian Serie A,J5,37%,308 of 374 — 82%,3 of 6 — 50%,6 of 6 — 100%
Napoli,Italian Serie A,J5,63%,88% — 570 of 649,33% — 6 of 18,33% — 1 of 3
Parma,Italian Serie A,J5,37%,210 of 297 — 71%,1 of 12 — 8%,3 of 4 — 75%
